,Unnamed: 0,Unnamed: 0.1,Effort Code,num1,num2,num3,num4,num5,Correct,Wrong_1,Wrong_2,Difference_1,Difference_2,Unnamed: 12,Unnamed: 13
0,2,Cue1LevelEffort,1,4, + 1, + 8, + 1, - 1,13,14,15,1,2,,
1,12,Cue1LevelEffort,1,6, + 9, + 1, + 1, - 1,16,14,15,-2,-1,,
2,5,Cue1LevelEffort,1,7, - 1, + 8, + 1, - 1,14,13,12,-1,-2,,
3,13,Cue1LevelEffort,1,7, + 1, + 4, + 1, - 1,12,14,13,2,1,,
4,5,Cue1LevelEffort,1,7, - 1, + 9, + 1, - 1,15,14,13,-1,-2,,
5,10,Cue1LevelEffort,1,4, + 7, + 1, - 1, - 1,10,11,9,1,-1,,
6,11,Cue1LevelEffort,1,5, + 1, + 1, + 9, + 1,17,19,16,2,-1,,
7,3,Cue1LevelEffort,1,5, + 9, - 1, + 1, + 1,15,17,13,2,-2,,
8,0,Cue1LevelEffort,1,2, + 1, + 9, + 1, + 1,14,12,13,-2,-1,,
9,12,Cue1LevelEffort,1,6, + 1, + 1, + 9, - 1,16,14,15,-2,-1,,
10,21,Cue1LevelEffort,1,5, + 6, + 1, + 1, + 1,14,16,15,2,1,,
11,7,Cue1LevelEffort,1,9, + 8, + 1, + 1, - 1,18,20,17,2,-1,,
12,14,Cue1LevelEffort,1,8, + 1, + 1, - 1, - 4,5,6,3,1,-2,,
13,2,Cue1LevelEffort,1,4, + 1, + 7, + 1, - 1,12,13,14,1,2,,
14,0,Cue1LevelEffort,1,2, + 9, + 1, + 1, + 1,14,12,13,-2,-1,,
15,1,Cue1LevelEffort,1,3, + 1, + 9, + 1, - 1,13,12,14,-1,1,,
16,8,Cue1LevelEffort,1,2, + 1, + 1, + 9, - 1,12,11,13,-1,1,,
17,14,Cue1LevelEffort,1,8, + 1, + 1, + 1, - 4,7,8,5,1,-2,,
18,13,Cue1LevelEffort,1,7, + 1, + 4, + 1, - 1,12,11,13,-1,1,,
19,7,Cue1LevelEffort,1,9, + 8, + 1, + 1, - 1,18,19,17,1,-1,,
20,19,Cue1LevelEffort,1,7, + 1, + 6, + 1, + 1,16,17,18,1,2,,
21,4,Cue1LevelEffort,1,6, + 1, + 1, + 7, - 1,14,12,13,-2,-1,,
22,7,Cue1LevelEffort,1,9, + 1, + 1, + 7, - 1,17,19,16,2,-1,,
23,4,Cue1LevelEffort,1,6, + 1, + 8, + 1, + 1,17,15,16,-2,-1,,
24,18,Cue1LevelEffort,1,4, - 1, + 8, + 1, + 1,13,12,14,-1,1,,
25,20,Cue1LevelEffort,1,4, + 8, + 1, - 1, - 1,11,13,9,2,-2,,
26,1,Cue1LevelEffort,1,3, + 1, + 1, + 9, - 1,13,12,14,-1,1,,
27,8,Cue1LevelEffort,1,2, + 1, + 9, + 1, - 1,12,11,13,-1,1,,
28,9,Cue1LevelEffort,1,3, + 1, + 8, + 1, + 1,14,13,16,-1,2,,
29,17,Cue1LevelEffort,1,3, + 1, + 8, - 1, + 1,12,10,13,-2,1,,
30,9,Cue1LevelEffort,1,3, + 1, + 8, + 1, + 1,14,13,12,-1,-2,,
31,0,Cue1LevelEffort,1,2, + 9, + 1, + 1, + 1,14,12,13,-2,-1,,
32,6,Cue1LevelEffort,1,8, - 1, + 1, + 6, + 1,15,16,14,1,-1,,
33,5,Cue1LevelEffort,1,7, - 1, + 1, + 9, - 1,15,14,13,-1,-2,,
34,3,Cue1LevelEffort,1,5, + 9, + 1, - 1, + 1,15,17,13,2,-2,,
35,10,Cue1LevelEffort,1,4, + 9, + 1, - 1, - 1,12,13,11,1,-1,,
36,20,Cue2LevelEffort,2,8, + 4, - 7, + 1, + 1,7,6,5,-1,-2,,
37,30,Cue2LevelEffort,2,8, + 1, + 4, - 7, + 1,7,6,5,-1,-2,,
38,15,Cue2LevelEffort,2,3, + 9, - 1, - 5, + 1,7,5,6,-2,-1,,
39,32,Cue2LevelEffort,2,2, + 1, + 9, - 4, + 1,9,11,8,2,-1,,
40,45,Cue2LevelEffort,2,5, + 9, + 1, - 1, + 8,22,23,21,1,-1,,
41,39,Cue2LevelEffort,2,9, + 4, - 6, + 1, - 1,7,8,9,1,2,,
42,21,Cue2LevelEffort,2,9, + 6, + 1, + 7, + 1,24,25,23,1,-1,,
43,40,Cue2LevelEffort,2,2, + 9, + 1, + 1, - 5,8,7,6,-1,-2,,
44,16,Cue2LevelEffort,2,4, + 1, + 9, + 1, - 6,9,8,7,-1,-2,,
45,43,Cue2LevelEffort,2,5, + 1, + 7, - 6, + 1,8,6,7,-2,-1,,
46,24,Cue2LevelEffort,2,4, + 9, - 7, + 1, - 1,6,5,8,-1,2,,
47,29,Cue2LevelEffort,2,7, + 5, + 1, - 1, - 8,4,2,3,-2,-1,,
48,46,Cue2LevelEffort,2,6, + 1, + 8, + 5, - 1,19,17,18,-2,-1,,
49,26,Cue2LevelEffort,2,6, + 1, + 7, + 5, - 1,18,16,17,-2,-1,,
