"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS","bf","logbf"
"3","b_Intercept",2.40975750377687,0.95,2.11279996139758,2.69220721579443,1,0.95,-0.181379936423422,0.181379936423422,0,1.00958754112138,565.025502876263,NA,NA
"1","b_efflev_c",-0.573601855471983,0.95,-0.631045448321326,-0.512111728426131,1,0.95,-0.181379936423422,0.181379936423422,0,1.00004386625837,6390.49333968847,1.28618095731396e-15,-34.2870990656865
"4","b_rewlev_c",0.0798818077331311,0.95,-0.0498226223858229,0.208322885236278,0.888533333333333,0.95,-0.181379936423422,0.181379936423422,0.959163626157732,0.999727441520333,6017.60619231622,76.9267862174618,4.34285414118502
"2","b_efflev_c:rewlev_c",0.0248592392876254,0.95,-0.0911685828923938,0.140336867211374,0.664666666666667,0.95,-0.181379936423422,0.181379936423422,1,0.999836782905987,6340.32357493899,156.251021962815,5.05146382915714
