"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS","bf","logbf"
"3","b_Intercept",1.95577344484494e-05,0.95,-0.0199417658250669,0.0177129934290165,0.501866666666667,0.95,-0.0997436758010315,0.0997436758010315,1,0.999658340570972,9544.40828899858,NA,NA
"1","b_efflev_c",0.0395387688412656,0.95,0.0226975767454743,0.0555713093771443,1,0.95,-0.0997436758010315,0.0997436758010315,1,1.00019507828911,9696.32397145507,1.87704063627677e-11,-24.6987396159764
"4","b_rewlev_c",-0.0407776023271125,0.95,-0.0782111125657739,-0.00360366697539249,0.982133333333333,0.95,-0.0997436758010315,0.0997436758010315,1,0.999796141205732,9450.38440486565,NA,NA
"2","b_efflev_c:rewlev_c",0.006025006997275,0.95,-0.027780050313756,0.0396735399410046,0.6376,0.95,-0.0997436758010315,0.0997436758010315,1,0.99988098680968,9694.82996993502,1.87704063627677e-11,-24.6987396159764
