"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS","bf","logbf"
"3","b_Intercept",0.0103872583278308,0.95,-0.00741118558257452,0.0277354621780606,0.874533333333333,0.95,-0.0943648391537669,0.0943648391537669,1,0.999633673256552,9736.65501908842,NA,NA
"1","b_efflev_c",-0.00339461669929573,0.95,-0.0192165726204553,0.0121067062163803,0.6596,0.95,-0.0943648391537669,0.0943648391537669,1,0.999817649110812,9991.54993870902,1090.55328316914,6.99444044567601
"4","b_rewlev_c",-0.0213007338892636,0.95,-0.0568084116797528,0.0144896921831801,0.882266666666667,0.95,-0.0943648391537669,0.0943648391537669,1,1.00024142796379,10153.9109633412,NA,NA
"2","b_efflev_c:rewlev_c",-0.0103488686305877,0.95,-0.0410745497792395,0.0213069720698094,0.737066666666667,0.95,-0.0943648391537669,0.0943648391537669,1,0.999856756838945,9592.81328034801,1090.55328316914,6.99444044567601
