"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS","bf","logbf"
"3","b_Intercept",-8.04715076466314e-05,0.95,-0.018868322638549,0.0180790392765285,0.503333333333333,0.95,-0.0997436758010315,0.0997436758010315,1,0.999959262862686,13497.7606541946,NA,NA
"1","b_efflev_c",-0.0107945224289953,0.95,-0.0276173442082201,0.00516309746281776,0.892666666666667,0.95,-0.0997436758010315,0.0997436758010315,1,0.999834936223753,13653.7138198782,553.897945785224,6.31698045639384
"4","b_rewlev_c",-0.0194126944820657,0.95,-0.056294209821001,0.0178610953574664,0.852133333333333,0.95,-0.0997436758010315,0.0997436758010315,1,0.999794206916563,14044.289086864,NA,NA
"2","b_efflev_c:rewlev_c",-0.00946696421828841,0.95,-0.0429238586162404,0.0243954906929456,0.714266666666667,0.95,-0.0997436758010315,0.0997436758010315,1,1.00008799043359,12765.9272579236,553.897945785224,6.31698045639384
