"","Parameter","Median","CI","CI_low","CI_high","pd","ROPE_CI","ROPE_low","ROPE_high","ROPE_Percentage","Rhat","ESS","bf","logbf"
"4","b_Intercept",0.0122657505335719,0.95,-0.0119235650747228,0.0360572682016772,0.8468,0.95,-0.0945398414080825,0.0945398414080825,1,0.999710178409584,13711.5526058207,NA,NA
"2","b_efflev_c",0.00332966678415299,0.95,-0.0174760795042922,0.0244500287707244,0.618133333333333,0.95,-0.0945398414080825,0.0945398414080825,1,0.99995589785852,12221.0432351954,880.831877529977,6.78086677631803
"1","b_cued_c",0.00474250660778432,0.95,-0.0413114001388282,0.0508052744493315,0.578533333333333,0.95,-0.0945398414080825,0.0945398414080825,1,0.999711161344667,12426.1505355638,417.644968632214,6.03463171427724
"3","b_efflev_c:cued_c",-0.00544602617943994,0.95,-0.0471564533728182,0.0370996940611168,0.605466666666667,0.95,-0.0945398414080825,0.0945398414080825,1,0.999939378579097,11667.5039559013,455.72567422045,6.12189103686372
