,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,44,21,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,16,15,14,24.831737100030296,,24.83173929998884,29.86007210001117,30.58048480004072,30.58049010002287,32.09651370003121,33.118051400000695,q,16.0,0.7204127000295557,1,Correct,,,,,11.730908174488052,-2.000877378827635,-2.620048399957981,28576.0,-24.729529807857183,-2.955406496168642,-0.09856921824516673,35834.0,24.84694335479033,,32.104943354790336
1,1,44,21,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,12,11,34.63404500001343,,34.63404800003627,39.65488089999417,40.508504200028256,40.50851010001497,42.0237427999964,43.04078540002229,w,12.0,0.8536233000340872,1,Correct,,,,,-39.44390430842283,-2.415805396777328,0.0873364110145749,38371.0,-0.9345930793935189,-0.12677554025164106,-0.33593784746186683,45757.0,34.641943354790335,,42.02794335479033
2,2,44,21,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,11,10,12,44.557676299999,,44.55768190004164,49.57645360002061,50.19653310003923,50.1965399000328,51.71243060001871,52.72887200000696,e,12.0,0.620079500018619,1,Correct,,,,,21.72653407557884,-2.0627430629860406,0.36528944779221506,48292.0,21.023503751221273,-0.23156595187200146,0.00010565019691854971,55445.0,44.562943354790335,,51.71594335479033
3,3,44,21,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,6,7,5,54.2466728000436,,54.24667600000976,59.265074700000696,68.3484534000163,68.34845889999997,69.86416310002096,70.8808498000144,w,7.0,9.0833787000156,1,Correct,,,,,6.044759138886825,-1.5591992064068219,0.05547459646549546,57981.0,-29.299153287258168,-0.7646562914565536,-0.2135722648831897,73597.0,54.251943354790335,,69.86794335479033
4,4,44,21,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,20,22,72.39771580003435,,72.39771869999822,77.41658419999294,78.70043359999545,78.70043910003733,80.21592660003807,81.23305959999561,w,20.0,1.2838494000025094,1,Correct,,,,,-44.95506348100987,-2.5292676943724377,0.4998817015842745,76132.0,46.018463758521435,0.7365057368730277,0.17269185366820938,83949.0,72.40294335479034,,80.21994335479033
5,5,44,21,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,11,10,9,82.74876099999528,,82.74876400001813,87.76764299999923,88.29231360001722,88.2923191000009,89.80911050003488,90.82632200000808,q,11.0,0.5246706000179984,1,Correct,,,,,12.81638203405668,0.9501999219279256,-0.02988448105561936,86483.0,13.557265550970655,-0.47550381211775594,0.016239236391843104,93542.0,82.75394335479034,,89.81294335479033
6,6,44,21,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,22,23,92.34219380002467,,92.34219679998932,97.3615667000413,100.13243120000698,100.1324367999914,101.648058700026,102.6649678000249,q,21.0,2.770864499965682,1,Correct,,,,,1.2338663669684413,-1.4305602614321895,0.31912625444731857,96077.0,-7.507801041093071,-0.8068062487152083,0.17048369516646078,105381.0,92.34794335479033,,101.65194335479033
7,7,44,21,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,104.18084899999668,,104.18085190001877,109.19941579998704,109.96428910002578,109.96429390000412,111.47985549998702,112.49685890000546,e,24.0,0.7648733000387438,1,Correct,,,,,18.95289715535722,0.2778441803027345,0.37099594029683036,107915.0,-4.968262264626016,-1.6883284233007654,0.28392537974513266,115212.0,104.18594335479034,,111.48294335479034
8,8,44,21,f,0,0,0.0,0,3,0,7 - 5 + 9 + 1 - 4,8,8,7,9,122.86669450002957,,122.86669769999573,127.8866370000178,129.5804202000145,129.58042569999816,131.09558890003245,132.11153580003884,q,8.0,1.6937831999966877,1,Correct,,,,,1.4241627755537731,0.9415289796325101,-0.21964161648448188,126602.0,-0.848720185966819,0.1259807867828293,-0.05377274145007771,134827.0,122.87294335479034,,131.09794335479032
9,9,44,21,f,0,0,1.0,1,4,0,6 + 7 + 9 - 3 + 5,24,22,24,23,133.6268199000042,,133.62682280002628,138.64476910000667,139.19632580003235,139.19633130001603,140.71207010000944,141.72904659999767,w,24.0,0.5515567000256851,1,Correct,,,,,17.413022056508623,0.6409044493018818,0.39132990002462265,137360.0,21.178531842303894,0.633761246639791,-0.4679025721383989,144444.0,133.63094335479033,,140.7149433547903
