,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,40,20,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,54.15685670002131,,54.15685890003806,59.3940089000389,60.37681109999539,60.3768168000388,61.894140400050674,62.91800040000817,w,15.0,0.9828021999564952,0,Incorrect,,,,,24.49114421769243,-0.09311118388212103,-0.6533189180414896,53127.0,27.480806742166145,0.11607465659859839,2.6235746436709997,60651.0,54.37999236402065,,61.90399236402065
1,1,40,20,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,12,11,10,64.43527980003273,,64.4352826999966,69.45810150000034,73.18486000003759,73.18486560002202,74.70179300004384,75.71975990000647,w,11.0,3.726758500037249,0,Incorrect,,,,,21.604665507683844,0.019781657595446145,-1.717706683694348,63191.0,12.838015247098339,0.5598204031510092,1.7905519900562714,73453.0,64.44399236402064,,74.70599236402064
2,2,40,20,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,11,10,12,77.23783380002715,,77.23783749999711,82.25845150003443,82.89672220003558,82.89672930003144,84.41383990005124,85.4341068000067,e,12.0,0.6382707000011578,1,Correct,,,,,-0.15725406461469538,0.13903137594947124,-1.5185259924856016,75991.0,-4.960684782185921,0.04237691217283679,0.6984624011947353,83167.0,77.24399236402064,,84.41999236402064
3,3,40,20,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,6,5,86.94991020002635,,86.94991359999403,91.96809270000084,94.80078600003615,94.8007937000366,96.31610320002072,97.3320486000157,w,6.0,2.8326933000353165,0,Incorrect,,,,,5.46832074898434,-0.11926789702876706,0.059399503156836175,85702.0,-10.33971159079477,0.0836250410367736,1.6458734472736039,95066.0,86.95499236402064,,96.31899236402064
4,4,40,20,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,22,20,21,98.8473965000012,,98.8473996000248,103.86507020000136,108.12879520002753,108.12880150001727,109.6438591000042,110.66076590004376,w,20.0,4.26372500002617,1,Correct,,,,,-5.744245677061114,0.1864650653584441,-0.16363681778425843,97599.0,-26.228675579528414,0.11272440222867308,0.00979741370586762,108395.0,98.85199236402065,,109.64799236402064
5,5,40,20,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,9,11,10,112.17589340003906,,112.17589660000522,117.19397340004798,117.81681800005026,117.8168244000408,119.33198540000012,120.348421600007,w,11.0,0.6228446000022814,1,Correct,,,,,-6.27184361323074,0.1359874889189201,-1.4088503046123932,110928.0,2.6068818469148276,0.19153813800691344,-0.44191902921613835,118082.0,112.18099236402064,,119.33499236402064
6,6,40,20,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,23,22,121.86381660000188,,121.86382010002852,126.88204290001886,132.98489730001893,132.98490310000489,134.50096470001154,135.51771949999966,q,21.0,6.102854400000069,1,Correct,,,,,1.0325943845634118,0.5155007103997642,0.1794688928819843,120616.0,14.715486005558647,0.05813741811408679,-0.28176753879126437,133251.0,121.86899236402064,,134.50399236402066
7,7,40,20,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,137.0335612000199,,137.03356450004503,142.05313610000303,145.53691260004416,145.53691860003164,147.0526291000424,148.07001590001164,e,24.0,3.483776500041131,1,Correct,,,,,-6.264635242157405,-0.14506965536405758,-0.8123700147111856,135786.0,-6.279149672334325,1.1228396868019734,3.129902901815613,145803.0,137.03899236402066,,147.05599236402065
8,8,40,20,f,0,0,0.0,0,4,0,7 + 6 - 9 + 8 - 3,9,8,7,9,161.17081670003245,,161.1708215000108,166.19081460003508,167.1608771000174,167.16088420001324,168.67619480000576,169.69282799999928,e,9.0,0.9700624999823048,1,Correct,,,,,5.769030690452002,0.11141944748715327,0.06719380105302886,159923.0,7.121350449324424,0.009028783847932598,-0.06880268180212434,167425.0,161.17599236402066,,168.67799236402067
9,9,40,20,f,0,0,1.0,1,1,0,3 + 1 + 8 + 1 + 1,14,14,12,13,171.20833590003895,,171.20833900000434,176.22601600002963,176.7367716000299,176.73677740001585,178.25324089999776,179.26978450000752,q,14.0,0.510755600000266,1,Correct,,,,,7.0623515813878495,-0.08463434223267496,0.17072256127396468,169960.0,-12.52320170915638,0.36552207604092457,0.3277584089144492,177003.0,171.21299236402066,,178.25599236402064
10,10,40,20,f,0,0,2.0,2,3,0,6 - 1 + 7 - 8 + 9,13,13,12,11,180.7859138000058,,180.78591680002864,185.8053288999945,187.52888670004904,187.52889280003728,189.044865200005,190.061869200028,q,13.0,1.7235578000545502,1,Correct,,,,,-3.911275953826589,-0.04046750451400616,0.058678463489710175,179538.0,-17.485968626355174,0.2680440609603769,-0.193342156758038,187795.0,180.79099236402067,,189.04799236402064
11,11,40,20,f,0,0,3.0,3,3,0,7 + 1 + 9 + 5 - 6,16,15,16,14,191.57795900001656,,191.5779620000394,196.59726210002555,198.53687250002983,198.53687820001505,200.0526327000116,201.0696400000016,w,16.0,1.9396104000043124,1,Correct,,,,,-14.268660286354233,-0.14804665403927952,-0.03385899425017724,190330.0,7.721908687930896,0.4771759607310586,-0.025391410247876056,198803.0,191.58299236402067,,200.05599236402065
12,12,40,20,f,0,0,4.0,4,3,0,2 - 4 + 9 + 7 + 1,15,16,15,13,202.5855857999996,,202.5855888000224,207.604782600014,210.9207847000216,210.92079020000529,212.43634290003683,213.45330550003564,w,15.0,3.3160021000076085,1,Correct,,,,,-51.989687906450186,0.1861762574654784,0.2280465577527746,201338.0,-8.216711398383012,0.22520497600249811,0.8012935853119787,211186.0,202.59099236402065,,212.43899236402066
13,13,40,20,f,0,0,5.0,5,3,0,5 + 6 + 7 - 1 - 9,8,7,9,8,214.9690530000371,,214.96905620000325,219.98834370000984,222.16096700000344,222.1609729000484,223.6765979000484,224.69360910000972,e,8.0,2.1726232999935746,1,Correct,,,,,8.103431850662272,-0.08214280012645014,0.19858463727051756,213721.0,0.6066202439460184,-0.33307390171807727,-2.3219299021331894,222427.0,214.97399236402066,,223.67999236402065
14,14,40,20,f,0,0,6.0,6,1,0,2 + 1 + 1 + 7 + 1,12,11,12,14,226.2100917000207,,226.2100947000436,231.2280259000254,231.6808546000393,231.68086050002603,233.19742209999825,234.2145068999962,w,12.0,0.4528287000139244,1,Correct,,,,,-9.862270848435895,-0.25393673727483046,-2.6017079726010817,224961.0,-27.93076604512845,-0.3298852796925358,0.35245008039950854,231947.0,226.21399236402067,,233.19999236402066
