,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,43,19,female,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,16,15,41.66293260001112,,41.66293480002787,46.92333600000711,52.51542050001444,52.51542559999507,54.03096830000868,55.0539151999983,w,16.0,5.592084500007331,1,Correct,,,,,-24.725268970698963,0.210895363066673,0.3047667666076297,50978.0,-3.5247612711149934,0.10962379909449327,0.6982968296108809,63109.0,41.9095316390177,,54.0405316390177
1,1,43,19,female,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,12,11,10,56.57047340000281,,56.570476500026416,61.59116220002761,65.60356980003417,65.6035754000186,67.11931869998807,68.13657339999918,q,12.0,4.012407600006554,1,Correct,,,,,-35.31972119043036,-0.531517161908194,-16.06505974904009,65646.0,-28.032818011525773,-0.048077715527599985,2.1169826840935704,76191.0,56.5775316390177,,67.1225316390177
2,2,43,19,female,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,11,10,12,69.6531471000053,,69.65315309999278,74.6717943000258,78.2596773999976,78.25968300004024,79.77508270001272,80.79145310004242,e,12.0,3.5878830999718048,1,Correct,,,,,-15.375851283442977,0.19885127117496104,0.046022623336193114,78727.0,2.193661161236488,-0.0638268196354983,-9.758842874320516,88846.0,69.6585316390177,,79.7775316390177
3,3,43,19,female,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,6,5,7,82.30699330003699,,82.30699630000163,87.32498880004277,90.203733500035,90.20373890001792,91.71947930002352,92.73688370001037,w,5.0,2.8787446999922395,0,Incorrect,,,,,21.188812376987052,0.2195672563993969,-0.5066651111404563,91380.0,-4.390131086902237,0.23763641745037312,12.932126716245428,100792.0,82.31153163901769,,91.7235316390177
4,4,43,19,female,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,22,20,94.252399399993,,94.25240240001584,99.2705535000423,101.69163580000168,101.69164209999144,103.2075737999985,104.22410340001808,e,20.0,2.42108229995938,1,Correct,,,,,-27.832386617810272,-1.4658977856488251,-5.049638251435532,103325.0,-5.373008916797012,0.2209510847016678,0.32252821319112934,112279.0,94.25653163901771,,103.21053163901769
5,5,43,19,female,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,9,10,11,105.73995529999956,,105.73995840002316,110.75871810002718,112.76354970003013,112.76355540001532,114.27878789999522,115.2957493000431,e,11.0,2.0048316000029445,1,Correct,,,,,-14.597213732151966,0.12919249910131225,0.03654533152058148,114814.0,-0.8126391798867876,0.3882780849838827,2.6299916028677677,123350.0,105.74553163901768,,114.28153163901769
6,6,43,19,female,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,23,21,22,116.8116646000417,,116.81166780000784,121.83114670001667,128.13151830004065,128.13152390002506,129.6472269000369,130.66392570000608,e,22.0,6.3003716000239365,0,Incorrect,,,,,23.11911824180865,0.2340557849975844,0.1174676475334917,125886.0,-2.3311049241830553,0.0010520364001100901,4.619587693867521,138719.0,116.81753163901769,,129.6505316390177
7,7,43,19,female,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,22,24,23,132.17997850000393,,132.17998160002753,137.1985999000026,139.28362669999478,139.2836321000359,140.79959509999026,141.81679620000068,q,22.0,2.0850267999921925,0,Incorrect,,,,,-17.32486346844015,0.2823082371211352,-0.13134124726548757,141253.0,-20.78604974573897,0.11937402380445206,0.4917626586879673,149871.0,132.18453163901768,,140.8025316390177
8,8,43,19,female,0,0,0.0,0,4,0,2 + 9 - 3 + 5 + 8,21,21,22,19,154.17933260003338,,154.1793372000102,159.19851950003067,163.09154260001378,163.0915481999982,164.60703350004042,165.62286350002978,w,22.0,3.893023099983111,0,Incorrect,,,,,-25.830905376852023,0.22875078153129413,0.2467097177748303,163253.0,-3.0300414473046606,0.15416366853259222,0.7772296625979429,173677.0,154.18453163901768,,164.60853163901768
9,9,43,19,female,0,0,1.0,1,2,0,4 + 9 - 7 + 1 - 1,6,5,6,8,167.13918400002876,,167.1391869999934,172.15703520004172,175.5876877999981,175.5876932000392,177.10340090002865,178.12002500001108,w,6.0,3.4306525999563746,1,Correct,,,,,-12.489847419479618,0.2513419009614717,-0.4298033758819031,176212.0,-2.7041048391047013,0.2961380989865936,5.253169655500686,186174.0,167.14353163901768,,177.1055316390177
10,10,43,19,female,0,0,2.0,2,3,0,7 - 6 + 8 + 1 + 7,17,15,16,17,179.63581800000975,,179.6358210000326,184.65451130003203,185.4595849000034,185.4595905999886,186.9752383999876,187.99184189998772,e,17.0,0.8050735999713652,1,Correct,,,,,-2.810363527104837,0.4785281499334286,-1.1115181763348763,188709.0,14.009906252731264,0.1426376152136768,0.059257121547514835,196047.0,179.6405316390177,,186.9785316390177
11,11,43,19,female,0,0,3.0,3,1,0,8 + 1 + 1 + 1 - 4,7,7,5,8,189.50742760003777,,189.50743050000165,194.5257651000284,196.3076385000022,196.3076478000148,197.823218000005,198.8402422000072,q,7.0,1.781873399973847,1,Correct,,,,,15.415899630376469,0.6927782839199204,0.05172734910614407,198580.0,-16.640640042995557,-0.020182795092865025,-7.604188588156632,206895.0,189.5115316390177,,197.8265316390177
12,12,43,19,female,0,0,4.0,4,2,0,8 + 1 + 1 + 9 - 4,15,16,15,14,200.3562431000173,,200.3562460000394,205.3745013000444,206.0996745000012,206.0996803000453,207.6152749999892,208.63183000002755,w,15.0,0.725173199956771,1,Correct,,,,,23.15719495055291,0.298172745987368,-0.9718859864150451,209429.0,31.613067269530944,0.20607724155544327,0.8633308257773713,216686.0,200.3605316390177,,207.6175316390177
13,13,43,19,female,0,0,5.0,5,3,0,2 - 4 + 9 + 7 + 1,15,16,15,13,210.1478307000361,,210.1478338000016,215.1672840000247,218.76362540002447,218.7636312000104,220.2798401000328,221.29699200001772,e,13.0,3.596341399999801,0,Incorrect,,,,,-7.735209033303153,0.09978974806883478,-0.27915277204864086,219222.0,-8.376576355154144,0.2921000298196663,4.048337614856546,229351.0,210.1535316390177,,220.2825316390177
14,14,43,19,female,0,0,6.0,6,2,0,4 + 8 + 1 + 1 - 5,9,11,8,9,222.81337170000188,,222.81337470002472,227.83189299999503,228.6275381000014,228.6275435000425,230.1431667000288,231.1599218000192,e,9.0,0.795645100006368,1,Correct,,,,,11.995157552548605,0.10441101569984812,-0.4343751067318893,231886.0,11.158498903844809,0.15470566481128079,0.09795264610528776,239214.0,222.8175316390177,,230.1455316390177
15,15,43,19,female,0,0,7.0,7,2,0,3 + 1 + 8 - 5 - 1,6,6,7,5,232.67588250001427,,232.67588560003787,237.69432280003093,240.1156095000333,240.11561530001927,241.63138000003528,242.6481056000339,q,6.0,2.4212867000023834,1,Correct,,,,,6.921253620927553,0.6219096945546083,16.944984255693022,241748.0,3.874483850258427,-0.6543880922867222,3.260187312712203,250702.0,232.67953163901768,,241.6335316390177
16,16,43,19,female,0,0,8.0,8,1,0,5 + 6 + 1 + 1 + 1,14,15,16,14,244.16494310001144,,244.16494600003352,249.18248860002493,250.0276776000392,250.02768310002284,251.5436999000376,252.5607548000408,e,14.0,0.8451890000142157,1,Correct,,,,,0.4755057590502574,0.13000084237557674,-0.768530740425974,253237.0,27.19982887683257,0.02571905389844842,0.17097385088066197,260615.0,244.1685316390177,,251.5465316390177
17,17,43,19,female,0,0,9.0,9,4,0,7 + 8 - 9 + 6 - 3,9,8,7,9,254.076369300019,,254.07637230004184,259.0955508000334,262.82762910000747,262.8276350999949,264.3432491000276,265.36025010002777,e,9.0,3.7320782999740914,1,Correct,,,,,0.5025202332139616,0.4045667095956875,0.23606456174156332,263150.0,0.08787786954228327,0.13309014529390217,0.3228889956080514,273414.0,254.08153163901767,,264.3455316390177
18,18,43,19,female,0,0,10.0,10,4,0,3 + 8 - 5 + 9 - 7,8,7,8,6,266.8759471999947,,266.87595020001754,271.89519300003303,274.96363100002054,274.963637000008,276.47947330004536,277.4966192000429,q,7.0,3.068437999987509,0,Incorrect,,,,,15.012748255195952,0.1883527064882451,0.030031019630143874,275949.0,37.005996557531304,0.11432973576873806,0.3865027646811008,285551.0,266.8805316390177,,276.4825316390177
19,19,43,19,female,0,0,11.0,11,4,0,5 + 6 - 4 + 7 + 9,23,23,24,25,279.0134379999945,,279.01344120001886,284.0328195000184,289.05960530001903,289.05961090000346,290.57583410001826,291.5925580000039,w,24.0,5.026785800000653,0,Incorrect,,,,,0.21184458259405492,0.044096740963642356,-0.057391480027773056,288087.0,-4.969656558625176,0.11350670733131651,3.1079116983422983,299647.0,279.0185316390177,,290.5785316390177
20,20,43,19,female,0,0,12.0,12,3,0,2 + 1 + 9 - 5 + 6,13,13,11,14,293.10845980001613,,293.1084627000382,298.1269084000378,303.1558392000152,303.1558428000426,304.67186790000414,305.6951616000151,,,,0,Too Slow!,,,,,4.56369948034869,0.43504540244784273,-1.4886169936204658,302181.0,18.861345537636964,1.2739427071677059,6.520319768126717,313749.0,293.1125316390177,,304.6805316390177
21,21,43,19,female,0,0,13.0,13,1,0,7 - 1 + 9 + 1 - 1,15,14,15,13,307.2110862000264,,307.2110890999902,312.2305463000084,314.2756444000406,314.2756507000304,315.79146929999115,316.8083423000062,w,15.0,2.045098100032192,1,Correct,,,,,21.057207309513352,0.13338169253049204,-0.11181750138919844,316284.0,-12.962881759280371,0.03141825367959861,0.6346960493617742,324862.0,307.2155316390177,,315.7935316390177
22,22,43,19,female,0,0,14.0,14,3,0,3 + 8 + 1 + 5 - 9,8,7,9,8,318.324144800019,,318.3241478000418,323.3426371000241,324.79563890001737,324.79564440000104,326.3112304999959,327.32817769999383,e,8.0,1.453001799993217,1,Correct,,,,,21.11110306919646,-0.06582689453055379,0.0031893025126503716,327396.0,13.648388592565208,0.06292113872254879,0.10484117441829044,335382.0,318.3275316390177,,326.3135316390177
23,23,43,19,female,0,0,15.0,15,3,0,6 - 8 + 5 + 7 + 9,19,18,19,17,328.844774600002,,328.84477750002407,333.863690600032,336.51567689998774,336.51568280003266,338.0312103999895,339.04823860002216,w,19.0,2.651986299955752,1,Correct,,,,,17.836442786529524,0.15764729369124186,-0.7388335995541371,337917.0,-11.38484899429601,0.3282927203073731,0.29255553284654034,347102.0,328.84853163901766,,338.03353163901767
24,24,43,19,female,0,1,16.0,0,2,0,4 + 1 + 9 + 1 - 6,9,7,8,9,351.8518150000018,,351.85181720001856,356.86977570003364,360.2676227000193,360.26762840000447,361.7832535000052,362.8003725000308,e,9.0,3.397846999985632,1,Correct,,,,,-4.084108020721226,-0.9853315928536723,0.21515992104815096,360924.0,-5.559790284433285,0.029315590523143698,0.23622811113243714,370854.0,351.85553163901767,,361.7855316390177
25,25,43,19,female,0,1,17.0,1,4,0,7 + 6 - 9 + 8 - 3,9,8,9,7,364.31634790002136,,364.3163511999883,369.3358012000099,371.6675687000388,371.6675742000225,373.1831028999877,374.2000809999881,q,8.0,2.331767500028945,0,Incorrect,,,,,15.17744794868573,0.09367404322871309,-0.14537201154834722,373389.0,9.93586406551378,0.18483950076710398,0.4416165905562477,382254.0,364.3205316390177,,373.1855316390177
26,26,43,19,female,0,1,18.0,2,2,0,6 + 1 + 1 + 7 - 9,6,6,8,4,375.7157504000352,,375.7157532999991,380.7350901000318,384.92373460001545,384.9237404000014,386.43923439999344,387.4563837000169,q,6.0,4.188644499983639,1,Correct,,,,,-7.733637465548682,0.456692015933148,-0.6147226047105021,384789.0,12.702210666368078,0.20668099400609785,-0.03141233168356994,395510.0,375.7205316390177,,386.4415316390177
27,27,43,19,female,0,1,19.0,3,2,0,7 + 8 + 1 + 9 + 1,26,25,26,24,388.9721110000392,,388.97211430000607,393.9913225999917,395.96365380001953,395.9636593000032,397.4798041000031,398.4966630000272,w,26.0,1.9723312000278383,1,Correct,,,,,13.178118223886619,0.33277530185872095,1.3850220509282316,398045.0,-53.5270329134723,0.15025900412925286,1.376820106344665,406550.0,388.9765316390177,,397.4815316390177
28,28,43,19,female,0,1,20.0,4,4,0,4 + 7 + 8 - 3 + 9,25,24,25,26,400.0127462000237,,400.0127490999876,405.0325948999962,408.5075670999941,408.5075727000367,410.0237964999978,411.0406256000279,w,25.0,3.4749721999978647,1,Correct,,,,,0.8974071524018523,2.389409439253401,1.6589821647502845,409086.0,-16.574868596952527,0.19756516331972485,5.68679096599821,419094.0,400.0175316390177,,410.0255316390177
29,29,43,19,female,0,1,21.0,5,4,0,6 + 9 - 3 + 8 - 5,15,14,13,15,412.55639350001,,412.5563964000321,417.5747084000032,419.2756997999968,419.2757054000394,420.7918406000245,421.8087572000222,e,15.0,1.7009913999936543,1,Correct,,,,,7.64336345592228,-0.8030860872664247,-20.21181382002876,421628.0,21.497711409285934,0.08385841194552435,0.0467765189655136,429862.0,412.5595316390177,,420.7935316390177
30,30,43,19,female,0,1,22.0,6,4,0,6 + 7 + 9 - 3 + 5,24,24,22,23,423.32466540002497,,423.3246683999896,428.3438331999933,430.9156316000153,430.9156373000005,432.4313640000182,433.4483818000299,q,24.0,2.571798400022089,1,Correct,,,,,5.8649285696656674,0.07724439316675813,0.18936064134370456,432397.0,-5.19996506196717,0.2889447519578441,0.42771595782671845,441502.0,423.3285316390177,,432.4335316390177
31,31,43,19,female,0,1,23.0,7,3,0,2 + 1 + 9 - 7 + 6,11,11,13,12,434.9649456000189,,434.9649485000409,439.984308700019,440.4837028000038,440.4837082000449,442.00033670000266,443.01805970002897,q,11.0,0.4993940999847837,1,Correct,,,,,18.332809238516276,0.16731280550993266,4.755134473028134,444038.0,-7.5914616166222535,0.3700250635616409,0.06015606152991637,451070.0,434.9695316390177,,442.0015316390177
32,32,43,19,female,0,1,24.0,8,2,0,8 + 1 + 4 - 7 + 1,7,7,5,6,444.5340295000351,,444.534032399999,449.5532414999907,450.3716667999979,450.37167220003903,451.8876241000253,452.9050022000447,q,7.0,0.8184253000072204,1,Correct,,,,,-7.750140238334264,0.25918909541911916,-0.3867590211086722,453606.0,-4.580249005298358,0.035725946760138516,13.663649144626852,460958.0,444.5375316390177,,451.8895316390177
