,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,25,20,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,15,16,14,101.77625509997596,,101.77625719999196,106.8898637999664,117.98040059994672,117.9804063999909,119.49783349997595,120.52072799997404,w,16.0,11.090536799980327,1,Correct,,,,,-13.01992081765552,-0.0484880957142364,0.033087652139234924,97094.0,17.755105280071916,0.3106272402233925,-0.3222416723375665,114725.0,101.87365443047189,,119.50465443047189
1,1,25,20,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,12,11,122.0378218999831,,122.0378249999485,127.06010059994878,128.82841159997042,128.8284175999579,130.3451416000025,131.3630850999616,w,12.0,1.7683110000216402,1,Correct,,,,,-3.639695328765384,-0.07928802357220377,-0.5399986471491096,117265.0,-1.2976414573705775,0.09491950192484255,0.06935861201600813,125568.0,122.0446544304719,,130.3476544304719
2,2,25,20,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,11,12,10,132.88090759998886,,132.88091259996872,137.90088769997237,139.30045439995592,139.30046009999933,140.81752399995457,141.8344567999593,w,12.0,1.399566699983552,1,Correct,,,,,-9.417002939107075,0.193874137140003,-0.2196894282844586,128105.0,14.845032624298357,-0.5225844729269542,-0.2219227520157374,136039.0,132.88465443047187,,140.81865443047187
3,3,25,20,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,6,7,5,143.35159569996176,,143.3515986999846,148.3706916999654,151.58039929997176,151.58040529995924,153.09679969999706,154.11342939996393,w,7.0,3.209707600006368,1,Correct,,,,,-19.71078134652919,0.021735875193191756,0.11134039156075182,138575.0,1.5746491250553056,0.06304064652504504,0.1575782371451262,148318.0,143.35465443047187,,153.0976544304719
4,4,25,20,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,20,22,21,155.63099989999318,,155.63100289995782,160.6504234999884,162.492389299965,162.492395499954,164.00896299997112,165.02623159997165,q,20.0,1.841965799976606,1,Correct,,,,,24.783701189583578,-0.06433913526740165,-0.1338309250519285,150855.0,34.853283605439636,-1.4504775764944187,-2.967126803367481,159231.0,155.63465443047187,,164.01065443047187
5,5,25,20,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,11,9,10,166.54318909998983,,166.54319209995447,171.56300259998534,173.9083047999884,173.9083104999736,175.42506629996933,176.4447595999809,e,10.0,2.345302200003061,0,Incorrect,,,,,-53.085206617895594,0.2419619877506065,-0.07222507907153553,161767.0,-68.12275219205118,0.11647062671606223,-0.0725894818002939,170649.0,166.54665443047188,,175.42865443047188
6,6,25,20,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,23,22,177.96149489999516,,177.96149779995903,182.9818021999672,184.20422709995185,184.2042327999952,185.72124009998515,186.73957079998212,q,21.0,1.2224248999846168,1,Correct,,,,,10.528184546208763,0.08110369931337358,-0.22016264883784586,173186.0,6.435863115584038,-0.033810418972604506,-0.09764469114664398,180944.0,177.9656544304719,,185.72365443047187
7,7,25,20,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,22,23,24,188.25641549995635,,188.25641829997767,193.27576739998767,194.7721965999808,194.77220199996373,196.28870599996296,197.3067936999724,e,24.0,1.4964291999931447,1,Correct,,,,,-29.21958947200982,-0.14936464941106298,0.01918003274429947,183480.0,6.8703851706306,-0.08099228501153366,-0.03687969932704083,191511.0,188.25965443047187,,196.29065443047188
8,8,25,20,f,0,0,0.0,0,3,0,5 + 6 + 7 - 1 - 9,8,7,8,9,213.4689801999484,,213.46898459998192,218.48977479996395,221.3244246999966,221.324429899978,222.84055179997813,223.8576311999932,w,8.0,2.834649900032673,1,Correct,,,,,7.5864500204639045,-0.18429308360495966,-1.6519876524953854,208694.0,22.347496808408636,-0.0027651773258670076,0.11369227540735727,218062.0,213.47365443047187,,222.8416544304719
9,9,25,20,f,0,0,1.0,1,3,0,7 - 5 + 9 + 1 - 4,8,9,7,8,225.37450239999453,,225.3745052999584,230.39324659999693,231.6361435999861,231.6361487999675,233.1527731999522,234.1709489999921,e,8.0,1.2428969999891706,1,Correct,,,,,0.8045767502693542,0.025877771948318973,0.050357076224960995,220598.0,-0.9403247011048457,-0.14499600020459047,0.002665039374772693,228375.0,225.3776544304719,,233.15465443047188
