,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,5,23,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,67.83606910007074,,67.83607129997108,72.86447659996338,73.96844169998076,73.96844760002568,75.48571579996496,76.50781670003198,e,16.0,1.1039651000173762,1,Correct,,,,,8.515968757926231,0.04330848427130851,-0.23694075117766733,136931.0,10.00879760839687,0.15864223529669452,0.268135123351803,144574.0,67.84670406951575,,75.48970406951575
1,1,5,23,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,11,12,78.02521490002982,,78.02521800005343,83.04718920006417,83.84032930003013,83.84033549996093,85.35702210001182,86.3750057000434,e,12.0,0.7931400999659672,1,Correct,,,,,-6.519771853523853,-0.06334229342426134,-0.4407376065515156,147113.0,-12.067213345123232,-0.5268458185969167,0.22246005179433537,154441.0,78.02870406951574,,85.35670406951574
2,2,5,23,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,87.89284680003766,,87.89285229996312,92.91265559999738,93.60038489999717,93.6003905000398,95.11766700004227,96.13579269999173,q,12.0,0.6877292999997735,1,Correct,,,,,-31.60085338190066,-0.09571432796396984,-0.1997327066522594,156979.0,-27.111854225831753,-0.30348212359976445,-0.20190250445970204,164202.0,87.89470406951575,,95.11770406951574
3,3,5,23,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,5,6,7,97.65313800005242,,97.65314129996112,102.67223010002635,128.6083025999833,128.60830840002745,130.12519960000645,131.14538100000937,q,5.0,25.936072499956936,0,Incorrect,,,,,-34.96191032262924,-0.055426718592216595,0.12275835323178086,166738.0,1.3224775773363913,-0.043301393520575715,-0.048613186696509825,199212.0,97.65370406951574,,130.12770406951574
4,4,5,23,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,20,21,22,132.66282820003107,,132.66283120005392,137.68349500000477,145.75222979998216,145.75223550002556,147.26933989999816,148.28651500004344,w,21.0,8.068734799977392,0,Incorrect,,,,,1.6099681957280225,0.05273525137342494,0.5868421341456145,201750.0,-29.972245456034887,1.657032138589481,4.333663269722144,216353.0,132.66570406951575,,147.26870406951576
5,5,5,23,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,10,9,11,149.80376919999253,,149.80377270001918,154.82469849998597,155.44026659999508,155.44027220003773,156.95690300001297,157.9751002000412,e,11.0,0.6155681000091136,1,Correct,,,,,6.279853620763328,-0.1522761048717136,-1.181507545203412,218891.0,-10.41586184412727,-0.08196391252883783,-0.0812541994150413,226041.0,149.80670406951572,,156.95670406951575
6,6,5,23,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,22,21,23,159.49251700006425,,159.49252009997144,164.51315510005224,178.08010370004922,178.08011039998382,179.59796449996065,180.6157955999952,w,21.0,13.566948599996977,1,Correct,,,,,9.641909637294544,0.3691368740515384,-0.13350068862285092,228579.0,-18.787548418616296,0.05421007292524571,0.1493222114255648,248682.0,159.49470406951576,,179.59770406951571
7,7,5,23,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,24,22,23,182.13366870000027,,182.13367160002235,187.15355160005856,188.8321794000221,188.8321851000656,190.34884930006228,191.36666629998945,q,24.0,1.6786277999635786,1,Correct,,,,,-15.359749397930074,0.415506414358362,-0.0013894099980591434,251220.0,-5.140186974129378,0.18124155426260513,0.2618701577812734,259433.0,182.13570406951573,,190.34870406951575
8,8,5,23,f,0,0,0.0,0,2,0,4 + 9 - 7 + 1 - 1,6,6,8,5,211.3265340999933,,211.3265377000207,216.3474767999724,219.97609660006128,219.97610229998827,221.49242789996788,222.51013000006787,w,8.0,3.628619800088927,0,Incorrect,,,,,2.16839017472315,-0.3689323257043271,0.0660046645380925,280413.0,-6.687290673268979,-0.19352347965478112,0.2485178517720268,290576.0,211.32870406951577,,221.49170406951578
9,9,5,23,f,0,0,1.0,1,1,0,4 + 1 + 8 + 1 - 1,13,13,15,14,224.0266061000293,,224.0266090000514,229.04510260000825,229.82423669996209,229.8242428000085,231.3409479999682,232.35895420005545,q,13.0,0.7791340999538079,1,Correct,,,,,9.285552516494576,0.24744435005682996,0.46583520463355965,293111.0,16.548916338793056,0.3023451151652412,0.15345093763719841,300425.0,224.02670406951574,,231.34070406951577
