,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,16,20,F,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,149.43770379992202,,149.43770599993877,154.71625920000952,162.28986759996042,162.28987370000686,163.8072793999454,164.83148059993982,e,16,7.573608399950899,1,Correct,,,,,-3.258407100842744,-0.3435264576895938,-0.03578704657947629,149386.0,-22.641936250180123,0.010527697147211024,0.4126471631480837,163501.0,149.6998253774512,,163.8148253774512
1,1,16,20,F,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,12,11,166.34848489996511,,166.34848789998796,171.37011919997167,172.177867099992,172.177872799919,173.69547949999105,174.7138623999199,w,12,0.8077479000203311,1,Correct,,,,,35.589268661271994,0.2334701352300388,-0.20207503737011967,166041.0,-1.3167214831846046,-0.296996269454626,0.28850997893795194,173384.0,166.3548253774512,,173.69782537745118
2,2,16,20,F,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,10,12,11,176.23166279995348,,176.23166889999993,181.2516536999028,182.0097745999228,182.0097804999677,183.52661029994488,184.54381069995,w,12,0.7581209000200033,1,Correct,,,,,-5.34121380485394,-0.30438543989735933,-0.18957749818685699,175922.0,-6.534580290976667,-8.252399571112509,-10.000103792883994,183214.0,176.2358253774512,,183.5278253774512
3,3,16,20,F,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,5,6,186.0605866999831,,186.0605896000052,191.07959809992465,191.92180599994023,191.92181199998595,193.4383771999273,194.4552054000087,q,7,0.8422079000156373,1,Correct,,,,,0.08380828559298292,0.06638172629831596,-0.05840397114272111,185749.0,-7.024409294298913,0.06342090252430532,0.3658750729005389,193125.0,186.0628253774512,,193.4388253774512
4,4,16,20,F,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,22,20,195.97193769994192,,195.97194079996552,200.99055599991692,213.9618690999924,213.96188279998023,215.47887479991184,216.49638319993392,e,20,12.97131310007535,1,Correct,,,,,0.32027563188677455,0.20674895411246874,0.18512721566040424,195661.0,5.55402800492493,1.1121026018637754,0.24012008562835874,215166.0,195.9748253774512,,215.4798253774512
5,5,16,20,F,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,11,9,10,218.0143302999204,,218.014333399944,223.03498659993056,224.02573749993465,224.0257424999727,225.54252869996708,226.5606678999029,q,11,0.9907509000040592,1,Correct,,,,,1.7043016841051752,0.13143237159490084,0.014244771561593428,217705.0,3.23078505770647,2.4319006843325934,4.4344558362844255,225230.0,218.0188253774512,,225.54382537745118
6,6,16,20,F,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,23,22,228.0778276999481,,228.0778306999709,233.0983077998972,234.40184289996972,234.4018485998968,235.91957939998247,236.9374660999747,q,21,1.3035351000726223,1,Correct,,,,,5.028011350563627,-0.10401595953008691,-0.38547053346482496,227768.0,9.93483982772362,0.2372615750116167,-0.05578187040575289,235607.0,228.0818253774512,,235.9208253774512
7,7,16,20,F,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,24,22,23,238.4546633999562,,238.4546664999798,243.4745738999918,245.34592230001,245.3459278999362,246.8632620999124,247.88170649996027,q,24,1.871348400018178,1,Correct,,,,,-3.798764166183487,0.3323732858363604,0.15516890261388427,238144.0,34.70224906484833,0.27501039215868506,0.05736791013955855,246551.0,238.4578253774512,,246.86482537745118
8,8,16,20,F,0,0,0.0,0,2,0,6 + 1 + 1 + 7 - 9,6,6,8,4,276.14521719992626,,276.14522169996053,281.16654609993566,282.0577699999558,282.0577759000007,283.57429779996164,284.5913874999387,q,6,0.8912239000201225,1,Correct,,,,,-10.670008053087084,0.22397036151665617,-0.05445446420956701,275836.0,7.345507827136402,0.4043603623098959,0.16206449994452532,283261.0,276.14982537745124,,283.57482537745125
9,9,16,20,F,0,0,1.0,1,2,0,4 + 8 + 1 + 1 - 5,9,11,8,9,286.1083767999662,,286.1083799999906,291.1272170000011,291.92972879996523,291.92973470001016,293.44633169996087,294.4640287999064,e,9,0.8025117999641225,1,Correct,,,,,32.35484440327424,0.01501884045201729,0.057927964266195175,285797.0,11.220013261260515,0.940356629111637,-0.14350218438524642,293134.0,286.11082537745125,,293.44782537745124
