,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,36,19,female,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,15,16,14,31.49444129993208,,31.494443400064483,36.71445910003968,37.60198520007543,37.60199110000394,39.11925470014103,40.14175940002315,w,16,0.8875261000357568,1,Correct,,,,,14.762645898997478,-0.5118437502359656,0.09010039039950168,32534.0,-2.6857449871013293,-0.0930036670301444,0.16245541978829436,39961.0,31.698876918049635,,39.125876918049634
1,1,36,19,female,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,12,11,41.65952740004286,,41.65953069995157,46.68213979993016,47.72211780003272,47.72212329995818,49.23926079994999,50.25705300015397,w,12,1.0399780001025647,1,Correct,,,,,12.192714567631423,0.005849892815730229,0.6485559426041436,42501.0,11.790249722131636,-0.41422844613226095,-0.06229852354445242,50076.0,41.665876918049634,,49.240876918049636
2,2,36,19,female,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,51.77450169995427,,51.774506600108,56.794290400110185,57.50614310009405,57.506148300133646,59.02340140007436,60.04106630012393,q,12,0.711852699983865,1,Correct,,,,,10.73160927456704,-0.04089638638784576,0.00980033737474395,52613.0,7.836015582680228,-0.9813755224772316,-0.40316999869292225,59859.0,51.777876918049635,,59.02387691804964
3,3,36,19,female,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,6,7,5,61.55789409996942,,61.55789689999074,66.57698110002093,74.64199410006404,74.64199999999255,76.15894749993458,77.17783950013109,e,5,8.065013000043109,0,Incorrect,,,,,36.28248482067926,0.11897522362096113,0.1518396927890464,62396.0,-27.870871850400146,-0.05502206632334916,1.2342289832916666,76997.0,61.56087691804964,,76.16187691804963
4,4,36,19,female,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,20,21,22,78.69503389997408,,78.69503680011258,83.71548720006831,90.28996760002336,90.28997409995644,91.80693490011618,92.82482400001028,w,21,6.574480399955064,0,Incorrect,,,,,38.972259571269625,0.3073107169151599,-0.4197468544859415,79534.0,-11.33627481641965,0.7639943103257303,1.9435034677362548,92644.0,78.69887691804963,,91.80887691804963
5,5,36,19,female,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,11,9,10,94.3419327000156,,94.34193580015562,99.36225450015628,100.12187259993516,100.12187830009498,101.63882700004616,102.65673919999972,q,11,0.7596180997788906,1,Correct,,,,,-17.059770341658222,-0.21360615094270097,-1.8484167224571397,95181.0,3.706229995558239,0.23833741702618938,0.20510227866307096,102476.0,94.34587691804963,,101.64087691804963
6,6,36,19,female,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,23,22,104.17446979996748,,104.17447270010598,109.19523110007869,109.93803509999998,109.9380408001598,111.45483070006594,112.4731533001177,q,21,0.742803999921307,1,Correct,,,,,13.086522634656358,-0.25645032326045847,0.02774944056211215,105014.0,-4.028220087912705,0.2023179499351997,0.012913810622913857,112292.0,104.17887691804962,,111.45687691804963
7,7,36,19,female,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,113.99038149998523,,113.99038430000655,119.00982669997028,121.25789410015568,121.25790040008724,122.77472730004229,123.79292030003852,q,23,2.248067400185392,0,Incorrect,,,,,-17.177380974381762,-0.07176630398319173,-0.6120931877496267,114829.0,19.627825601043845,1.221020848397365,0.9742314417121754,123612.0,113.99387691804962,,122.77687691804962
8,8,36,19,female,0,0,0.0,0,2,0,6 + 1 + 7 + 5 - 1,18,17,18,16,141.53887620009482,,141.5388822001405,146.5601482000202,147.2977869999595,147.2977917001117,148.81413480010815,149.83109190012328,w,18,0.7376387999393046,1,Correct,,,,,14.344581559571676,0.023031063889708214,-2.0612436456336427,142379.0,13.795079647326448,-0.11387569064457792,-0.7329505928038129,149650.0,141.54387691804962,,148.81487691804963
9,9,36,19,female,0,0,1.0,1,4,0,5 + 8 - 4 - 6 + 9,12,12,13,14,151.34782609995457,,151.34782900009304,156.36635820008814,157.07421340001747,157.07421909994446,158.59123180015013,159.6095137000084,q,12,0.7078551999293268,1,Correct,,,,,10.888637280101563,0.03575527766618958,0.025590511167927765,152185.0,-47.43139190820598,0.01348149771086149,-0.7709337237030751,159428.0,151.34987691804963,,158.59287691804963
