,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,39,21,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,16,14,15,85.76888530002907,,85.76888739992864,90.79806499998084,92.42016469989905,92.42017109994777,93.93736630002968,94.95961169991642,w,14.0,1.6220996999181807,0,Incorrect,,,,,-10.309792353333826,0.6670537754740451,0.04881467802960371,82188.0,-6.028389216801231,-0.5951134535347471,0.21341544071337415,90350.0,85.78411566298907,,93.94611566298906
1,1,39,21,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,11,12,96.47660170006566,,96.4766055000946,101.49931739992462,102.51608249987476,102.51608869992197,104.03284149989486,105.0523560999427,e,12.0,1.0167650999501348,1,Correct,,,,,-5.874523601251234,-1.0023802038027618,-0.20597170821469524,92888.0,16.14973219493736,-0.41153074969417824,0.14480784220634657,100442.0,96.48411566298907,,104.03811566298906
2,2,39,21,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,106.57046670001,,106.57047259993853,111.5903328000568,112.4839973000344,112.48400299996138,114.00096550001764,115.01913479994982,q,12.0,0.8936644999776036,1,Correct,,,,,-6.335818545787348,0.07363396114155263,0.5441190901760837,102980.0,-6.61647511022235,-0.17093546370023205,0.8551160915801443,110409.0,106.57611566298907,,114.00511566298907
3,3,39,21,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,6,7,5,116.5364844999276,,116.53648800007068,121.55548009998164,122.80397889995947,122.80398389999756,124.32082929997704,125.33817039988936,w,7.0,1.248498799977824,1,Correct,,,,,-21.711160967160875,-0.18122967008026336,-0.4642968741776783,112945.0,0.31047813341037944,-0.1949273243488414,0.08295982434665494,120728.0,116.54111566298906,,124.32411566298906
4,4,39,21,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,22,21,20,126.85470880009234,,126.8547125000041,131.87372460006736,133.01212080009282,133.01212639990263,134.52855250006542,135.5457309000194,w,21.0,1.1383962000254542,0,Incorrect,,,,,-19.558843176680444,-0.013721333696573357,0.08761639965532719,123263.0,21.522655435434,-0.21153709869800696,0.574317556256462,130935.0,126.85911566298907,,134.53111566298907
5,5,39,21,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,9,11,10,137.06297539989464,,137.06297879992053,142.08381940005347,144.18005770002492,144.18006319995038,145.69702870002948,146.71509469999,w,11.0,2.0962382999714464,1,Correct,,,,,20.106564645237842,-0.16056278311562533,-0.19597001330060015,133473.0,-15.873083081071954,-0.008047323482454516,0.42729755415492954,142104.0,137.06911566298908,,145.70011566298908
6,6,39,21,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,22,23,148.23222799994983,,148.23223139997572,153.25294740009122,154.92410170007497,154.92410769988783,156.44118470000103,157.45932499994524,e,23.0,1.6711542999837548,0,Incorrect,,,,,15.285665691013051,0.0022755839614689854,0.10995075266286447,144642.0,38.99282618185332,-0.07087489876480557,-0.3258595706096501,152849.0,148.23811566298906,,156.44511566298905
7,7,39,21,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,158.97691989992745,,158.97692329995334,163.99654969992116,165.48405180010013,165.484057799913,167.00054030003955,168.0185424000956,w,22.0,1.487502100178972,0,Incorrect,,,,,23.25470169698013,-0.431227814825069,0.006130754917021086,155386.0,7.094464741536456,0.51642547194567,-3.4718681150813673,163408.0,158.98211566298906,,167.00411566298905
8,8,39,21,f,0,0,0.0,0,2,0,3 + 1 + 8 - 5 - 1,6,7,6,5,179.49830089998432,,179.49830390000716,184.5181467998773,186.2359215999022,186.235926500056,187.7520532000344,188.7695951000788,w,6.0,1.7177748000249269,1,Correct,,,,,-25.42202166815828,0.05407999860175394,0.19500157694854048,175907.0,12.25804210129991,0.6925467532015532,-2.644912333014833,184158.0,179.50311566298907,,187.75411566298905
9,9,39,21,f,0,0,1.0,1,1,0,8 + 1 + 1 + 1 - 4,7,5,7,8,190.2865263998974,,190.2865297999233,195.3051068000496,197.2280556000769,197.22806150000545,198.7451458000578,199.76309280004352,w,7.0,1.9229488000273705,1,Correct,,,,,-1.846829072124038,-0.9058618187748584,-0.023564964263187882,186694.0,-32.95370171001589,-0.37922654888740226,-1.1819029746406984,195152.0,190.29011566298905,,198.74811566298905
