,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,12,22,m,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,233.14938610000536,,233.14938800001983,238.3628820000449,239.7615558000398,239.76156190002803,241.2785342000425,242.30122070002835,e,16,1.3986737999948673,1,Correct,,,,,4.246927826341034,0.05222133128187867,0.3732048285701399,232252.0,16.424680506149635,-1.0591176455116074,0.09941199527535294,240190.0,231.51090924775738,,239.44890924775737
1,1,12,22,m,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,11,12,10,243.8185150999925,,243.8185180000146,248.8405823000357,249.96147350000683,249.9614790999913,251.4781539000105,252.49604659999025,w,12,1.1208911999710836,1,Correct,,,,,16.853196167691564,-1.0110975274549672,0.17582425154311743,242730.0,-25.523239087174453,-1.3656956199828292,-0.04836161937766348,250385.0,241.98890924775736,,249.64390924775736
2,2,12,22,m,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,10,11,12,254.0141440000152,,254.0141498000012,259.0339097999968,260.12153300002683,260.121538700012,261.638571700023,262.6556983999908,e,12,1.087623200030066,1,Correct,,,,,1.7855869228377586,-0.039431472070752704,0.06158625128798745,252923.0,6.828571422272574,-0.21004908126945843,0.13182512965423054,260545.0,252.18190924775737,,259.8039092477574
3,3,12,22,m,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,5,6,264.1726746000349,,264.1726774999988,269.1918842000305,270.4097539000213,270.4097599000088,271.92631770001026,272.94364410004346,q,7,1.2178696999908425,1,Correct,,,,,-14.977115905179083,-0.0132718654558861,0.15871668587973575,263081.0,28.193690529041387,0.1675101184332215,0.010044964953343838,270832.0,262.3399092477574,,270.0909092477574
4,4,12,22,m,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,20,21,22,274.46094850002555,,274.4609514999902,279.4799070000299,280.6654566000216,280.6654625000083,282.18210080004064,283.1993088000454,q,20,1.1855495999916457,1,Correct,,,,,-0.7686775607483591,-0.27819817557973625,0.0919309697664803,273369.0,-35.63001331861123,0.4793261192999898,0.07301040335661879,281088.0,272.62790924775743,,280.3469092477574
5,5,12,22,m,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,10,11,9,284.71639549999963,,284.716398700024,289.736207900045,290.9295522000175,290.929557800002,292.44606690004,293.4651692000334,w,11,1.193344299972523,1,Correct,,,,,10.234514978076884,0.2994824112022565,-0.05955222506930902,283625.0,20.64369837976715,-0.31048038615943163,0.31580493757797434,291353.0,282.8839092477574,,290.6119092477574
6,6,12,22,m,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,23,21,22,294.9815502000274,,294.9815530999913,300.002039300045,301.06545660004485,301.0654622000293,302.5824629000272,303.60083120001946,w,21,1.0634172999998557,1,Correct,,,,,21.083043695859704,-0.4593061672391876,0.13082572804696624,293891.0,2.7021305999712038,0.39570877212994127,0.06192851830563417,301490.0,293.1499092477574,,300.7489092477574
7,7,12,22,m,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,24,22,23,305.1180591000011,,305.1180620000232,310.13769970001886,311.4095234000124,311.4095291999984,312.9259932000423,313.94436650001444,q,24,1.271823699993547,1,Correct,,,,,20.57158126759325,1.0519397628597549,-0.08975114015339836,304027.0,18.59552862445465,1.6796113250006535,-0.021686666634751495,311833.0,303.2859092477574,,311.0919092477574
8,8,12,22,m,0,0,0.0,0,1,0,8 + 1 + 5 + 1 + 1,16,15,16,17,342.1177841000026,,342.11778810003307,347.13758050004253,348.1455145000364,348.1455204000231,349.6621006000205,350.67889310000464,w,16,1.0079339999938384,1,Correct,,,,,-0.40342602624630786,-0.4408269332945025,-0.08671966990955338,341026.0,-17.7485796163641,4.710048997027882,-0.40790241713660924,348568.0,340.2849092477574,,347.8269092477574
9,9,12,22,m,0,0,1.0,1,4,0,8 + 4 + 7 - 5 - 6,8,7,8,9,352.1956735000131,,352.19567640003515,357.2151540000341,358.15355859999545,358.1535639000358,359.6703653000295,360.688599599991,w,8,0.938404599961359,1,Correct,,,,,-21.89189622038058,1.2278101339679512,0.037579199631681215,351104.0,18.705858871482427,0.2887430233398547,-0.15512280660988287,358577.0,350.3629092477574,,357.8359092477574
