,Unnamed: 0,id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,0,32,18,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,16,14,15,107.91559679992496,,107.91559889994096,113.1620958999265,117.9431449000258,117.94314989994746,119.46038239996416,120.48438099992929,w,14.0,4.781049000099301,0,Incorrect,,,,,-5.808088969973357,-3.536378797536293,15.085338542135114,192696.0,-8.49453451334087,-0.5248011780135737,13.985465569830643,204018.0,108.14634876897702,,119.46834876897702
1,1,32,18,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,11,12,10,122.00165440002456,,122.00165749993177,127.02348079998046,128.06324889999814,128.06325459992513,129.5800675000064,130.59857789997477,q,11.0,1.0397681000176815,0,Incorrect,,,,,0.9243752023965747,-1.8251495718614592,-1.7213091612790041,206558.0,19.265674492807847,-2.752274503551421,4.679636801777499,214133.0,122.00834876897702,,129.58334876897703
2,2,32,18,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,132.1182073999662,,132.1182123000035,137.1379750999622,138.15929560002405,138.15930159995332,139.67609530000482,140.69407610001508,q,12.0,1.0213205000618473,1,Correct,,,,,13.773950365796436,1.6874616721876974,-14.383916118306427,216672.0,0.3634491549736154,9.203149112742116,1.7585181717283462,224228.0,132.12234876897702,,139.67834876897703
3,3,32,18,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,5,6,142.21082429995295,,142.21082739997655,147.23031979997177,158.05518439994194,158.05519079999067,159.57202019996475,160.5902752999682,q,7.0,10.82486459997017,1,Correct,,,,,6.004562083813109,-1.9595508845425318,-6.548928971693503,226764.0,25.333659094582178,-5.4353013187823755,-11.524909191054748,244124.0,142.21434876897703,,159.57434876897702
4,4,32,18,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,20,22,162.10753769997973,,162.1075408000033,167.12676569994073,175.29520910000429,175.29521539993584,176.81202019995544,177.8299937000265,w,20.0,8.168443400063552,1,Correct,,,,,-9.593689761497616,0.1782383794030613,-0.34098802831448793,246661.0,19.661484407031324,0.9376898475497981,0.5263530467217292,261364.0,162.11134876897702,,176.814348768977
5,5,32,18,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,11,9,10,179.34723339998163,,179.34723640000448,184.3675610999344,185.44707729993388,185.4470834999811,186.96385960001496,187.98192099994048,q,11.0,1.079516199999489,1,Correct,,,,,-38.663975672031796,-0.26080766251271204,-0.337404900668822,263902.0,-6.209319733017873,-4.475251044036005,-1.8661277456433547,271516.0,179.352348768977,,186.96634876897704
6,6,32,18,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,23,22,21,189.498803799972,,189.498806699994,194.51903429999948,199.7030469999881,199.70305300003383,201.2195636000252,202.2373566000024,e,21.0,5.184012699988671,1,Correct,,,,,18.71912923988133,-4.592086101487302,-0.7097799046731477,274053.0,-8.00194860142319,0.2001355975325545,1.1703230956429818,285772.0,189.50334876897702,,201.222348768977
7,7,32,18,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,203.75423630001023,,203.7542395000346,208.7742278999649,209.79917549993843,209.79918169998564,211.31605219992343,212.33402650000065,q,23.0,1.0249475999735296,0,Incorrect,,,,,6.093477066765725,-0.8532948089879646,0.9686484729764442,288308.0,23.183847849906996,0.0019784630635539813,2.580857363430667,295868.0,203.75834876897702,,211.31834876897702
8,8,32,18,f,0,0,0.0,0,4,0,4 + 7 + 8 - 3 + 9,25,26,25,24,231.65317679999865,,231.65318399993703,236.6787911999272,241.70634599996265,241.7063502999954,243.22271759994328,244.2443826999516,,,,0,Too Slow!,,,,,0.14620028314799427,-1.7958157243867117,0.017871602082327076,316212.0,-5.115812175100588,-4.077365085437631,0.07628063036375377,327778.0,231.662348768977,,243.22834876897704
9,9,32,18,f,0,0,1.0,1,2,0,6 + 1 + 1 + 7 - 9,6,8,6,4,245.76118040003348,,245.7611833999399,250.78139419993383,253.87113859993408,253.87114479998127,255.38804009999149,256.4065068999771,w,6.0,3.0897444000002,1,Correct,,,,,-37.86751522682959,-1.0506475652034784,-0.6924054425238908,330315.0,10.129109877780415,-3.328412076053832,6.662607306093776,339940.0,245.76534876897702,,255.39034876897702
10,10,32,18,f,0,0,2.0,2,2,0,4 + 9 + 1 - 7 - 1,6,6,8,5,257.9237349999603,,257.92373799998313,262.9442689999705,263.8070491999388,263.80705519998446,265.3235331999604,266.3416364999721,q,6.0,0.8627801999682561,1,Correct,,,,,3.0237775892758734,-0.6016999553655822,-17.622339759493144,342478.0,14.853686224974368,-1.667795832773928,-0.258991644940642,349875.0,257.928348768977,,265.32534876897705
11,11,32,18,f,0,0,3.0,3,2,0,3 + 1 + 8 - 5 - 1,6,7,5,6,267.85878160002176,,267.8587845999282,272.87769729993306,274.2470269999467,274.2470329999924,275.76365099998657,276.78195879992563,e,6.0,1.3693297000136226,1,Correct,,,,,-13.907771786268441,-1.187834352053267,0.06264606067429201,352411.0,12.297654342259811,-0.42001278236229034,-1.634414719130953,360315.0,267.861348768977,,275.765348768977
12,12,32,18,f,0,0,4.0,4,1,0,7 + 1 + 4 + 1 - 1,12,12,11,13,278.2992178000277,,278.29922069993336,283.3203240999719,284.0310294999508,284.03103539999574,285.5477347000269,286.565975699923,q,12.0,0.7107053999789059,1,Correct,,,,,-16.93115133610063,-6.337730893340243,0.005887057258811446,362853.0,-27.717330472779963,0.40209048244293477,11.925462802318062,370100.0,278.303348768977,,285.5503487689771
13,13,32,18,f,0,0,5.0,5,4,0,2 + 9 - 3 + 5 + 8,21,22,19,21,288.0830359000247,,288.0830389999319,293.1032708999701,295.4070588999893,295.40706509992015,296.92384249996394,297.94212669995613,e,21.0,2.303788000019267,1,Correct,,,,,8.936110356186418,0.8006317015753677,-1.4987560341321426,372637.0,35.171253117704794,0.023509025501631697,2.62436049497261,381476.0,288.087348768977,,296.92634876897705
14,14,32,18,f,0,0,6.0,6,2,0,7 + 6 + 8 + 1 + 1,23,21,23,22,299.4591120999539,,299.45911519997753,304.4793889999856,306.6389372999547,306.63894319999963,308.15565380000044,309.17417699994985,q,21.0,2.159548299969174,0,Incorrect,,,,,1.399242865337591,-16.953684600456384,-0.3110801107487293,384013.0,28.54419525901614,-1.1506556480194838,6.259183565259628,392708.0,299.46334876897697,,308.158348768977
15,15,32,18,f,0,0,7.0,7,3,0,4 + 8 - 9 + 1 + 7,11,13,11,9,310.6913274999242,,310.6913306999486,315.711620499962,317.9908681999659,317.9908745000139,319.50777559995186,320.5260508999927,w,11.0,2.279247700003907,1,Correct,,,,,-11.732086988067806,-3.5664053629493466,0.7264169326591672,395245.0,0.8722235399736391,-0.8808927069355903,4.136543293941737,404060.0,310.69534876897706,,319.510348768977
