,Unnamed: 0,Unnamed: 0.1,Effort Code,num1,num2,num3,num4,num5,Correct,Wrong_1,Wrong_2,Difference_1,Difference_2,Unnamed: 12,Unnamed: 13
0,0,Cue1LevelEffort,1,2, + 9, + 1, + 1, + 1,14,12,13,-2,-1,,
1,7,Cue1LevelEffort,1,9, + 8, + 1, + 1, - 1,18,19,17,1,-1,,
2,5,Cue1LevelEffort,1,7, - 1, + 1, + 9, - 1,15,14,13,-1,-2,,
3,24,Cue1LevelEffort,1,8, + 1, + 1, + 1, - 3,8,9,6,1,-2,,
4,7,Cue1LevelEffort,1,9, + 8, + 1, + 1, - 1,18,20,17,2,-1,,
5,7,Cue1LevelEffort,1,9, + 1, + 1, + 7, - 1,17,19,16,2,-1,,
6,8,Cue1LevelEffort,1,2, + 1, + 9, + 1, - 1,12,11,13,-1,1,,
7,3,Cue1LevelEffort,1,5, + 9, + 1, - 1, + 1,15,17,13,2,-2,,
8,1,Cue1LevelEffort,1,3, + 1, + 9, + 1, - 1,13,12,14,-1,1,,
9,4,Cue1LevelEffort,1,6, + 1, + 1, + 7, - 1,14,12,13,-2,-1,,
10,3,Cue1LevelEffort,1,5, + 9, - 1, + 1, + 1,15,17,13,2,-2,,
11,0,Cue1LevelEffort,1,2, + 9, + 1, + 1, + 1,14,12,13,-2,-1,,
12,8,Cue1LevelEffort,1,2, + 1, + 1, + 9, - 1,12,11,13,-1,1,,
13,9,Cue1LevelEffort,1,3, + 1, + 9, + 1, + 1,15,14,17,-1,2,,
14,12,Cue1LevelEffort,1,6, + 9, + 1, + 1, - 1,16,14,15,-2,-1,,
15,23,Cue1LevelEffort,1,7, + 1, + 5, + 1, - 1,13,12,14,-1,1,,
16,11,Cue1LevelEffort,1,5, + 1, + 1, + 9, + 1,17,19,16,2,-1,,
17,12,Cue1LevelEffort,1,6, + 9, + 1, + 1, - 1,16,14,15,-2,-1,,
18,6,Cue1LevelEffort,1,8, + 1, + 4, + 1, + 1,15,16,14,1,-1,,
19,15,Cue1LevelEffort,1,9, + 7, + 1, + 1, + 1,19,20,18,1,-1,,
20,10,Cue1LevelEffort,1,4, + 7, + 1, - 1, - 1,10,11,9,1,-1,,
21,0,Cue1LevelEffort,1,2, + 1, + 9, + 1, + 1,14,12,13,-2,-1,,
22,6,Cue1LevelEffort,1,8, - 1, + 1, + 6, + 1,15,16,14,1,-1,,
23,11,Cue1LevelEffort,1,5, + 6, + 1, + 1, + 1,14,16,13,2,-1,,
24,8,Cue1LevelEffort,1,2, + 1, + 9, + 1, - 1,12,11,13,-1,1,,
25,1,Cue1LevelEffort,1,3, + 1, + 1, + 9, - 1,13,12,14,-1,1,,
26,2,Cue1LevelEffort,1,4, + 1, + 1, + 7, - 1,12,13,14,1,2,,
27,17,Cue1LevelEffort,1,3, + 1, + 8, - 1, + 1,12,10,13,-2,1,,
28,13,Cue1LevelEffort,1,7, + 1, + 4, + 1, - 1,12,14,13,2,1,,
29,20,Cue1LevelEffort,1,4, + 8, + 1, - 1, - 1,11,13,9,2,-2,,
30,22,Cue1LevelEffort,1,6, + 9, + 1, + 1, - 1,16,14,15,-2,-1,,
31,18,Cue1LevelEffort,1,4, - 1, + 8, + 1, + 1,13,12,14,-1,1,,
32,3,Cue1LevelEffort,1,5, + 8, - 1, + 1, + 1,14,16,12,2,-2,,
33,19,Cue1LevelEffort,1,7, + 1, + 6, + 1, + 1,16,17,18,1,2,,
34,9,Cue1LevelEffort,1,3, + 1, + 8, + 1, + 1,14,13,16,-1,2,,
35,4,Cue1LevelEffort,1,6, + 1, + 8, + 1, - 1,15,13,14,-2,-1,,
36,44,Cue2LevelEffort,2,6, + 8, + 1, + 1, - 7,9,8,11,-1,2,,
37,22,Cue2LevelEffort,2,2, + 1, + 9, - 4, + 1,9,11,8,2,-1,,
38,21,Cue2LevelEffort,2,9, + 6, + 1, + 7, + 1,24,25,23,1,-1,,
39,16,Cue2LevelEffort,2,4, + 8, + 1, + 1, - 6,8,7,9,-1,1,,
40,29,Cue2LevelEffort,2,9, + 4, + 5, + 1, - 1,18,19,17,1,-1,,
41,17,Cue2LevelEffort,2,5, - 8, + 7, + 1, + 1,6,7,8,1,2,,
42,17,Cue2LevelEffort,2,5, + 9, - 8, + 1, + 1,8,9,7,1,-1,,
43,35,Cue2LevelEffort,2,5, - 1, + 1, + 8, + 9,22,23,21,1,-1,,
44,15,Cue2LevelEffort,2,3, + 9, - 1, - 5, + 1,7,5,6,-2,-1,,
45,25,Cue2LevelEffort,2,5, + 7, - 1, + 1, + 9,21,22,19,1,-2,,
46,29,Cue2LevelEffort,2,9, + 7, + 1, + 5, - 1,21,22,23,1,2,,
47,25,Cue2LevelEffort,2,3, + 9, - 1, - 6, + 1,6,4,5,-2,-1,,
48,26,Cue2LevelEffort,2,6, + 1, + 8, + 7, - 1,21,23,19,2,-2,,
49,48,Cue2LevelEffort,2,8, + 1, + 9, + 1, - 5,14,13,15,-1,1,,
50,19,Cue2LevelEffort,2,7, + 6, + 1, - 1, - 8,5,3,4,-2,-1,,
51,29,Cue2LevelEffort,2,7, + 5, + 1, - 1, - 8,4,2,3,-2,-1,,
52,24,Cue2LevelEffort,2,4, + 9, - 7, + 1, - 1,6,5,8,-1,2,,
53,38,Cue2LevelEffort,2,8, + 1, + 7, + 1, - 4,13,12,14,-1,1,,
54,45,Cue2LevelEffort,2,5, + 9, + 1, - 1, + 8,22,23,21,1,-1,,
55,20,Cue2LevelEffort,2,8, - 7, + 5, + 1, + 1,8,7,6,-1,-2,,
56,28,Cue2LevelEffort,2,8, + 1, + 9, + 1, - 4,15,14,16,-1,1,,
57,15,Cue2LevelEffort,2,3, - 1, + 9, - 5, + 1,7,5,6,-2,-1,,
58,31,Cue2LevelEffort,2,9, + 6, + 1, + 7, + 1,24,25,23,1,-1,,
59,49,Cue2LevelEffort,2,9, + 5, - 6, + 1, - 1,8,9,7,1,-1,,
60,19,Cue2LevelEffort,2,7, + 1, + 9, - 1, - 8,8,6,7,-2,-1,,
61,18,Cue2LevelEffort,2,6, + 1, + 1, + 8, - 9,7,9,5,2,-2,,
62,42,Cue2LevelEffort,2,4, + 7, + 1, + 1, - 8,5,7,4,2,-1,,
63,40,Cue2LevelEffort,2,2, + 9, + 1, + 1, - 5,8,7,6,-1,-2,,
64,27,Cue2LevelEffort,2,7, + 6, + 1, + 8, + 1,23,21,22,-2,-1,,
65,36,Cue2LevelEffort,2,6, + 1, + 7, - 8, - 1,5,7,4,2,-1,,
66,43,Cue2LevelEffort,2,5, + 1, + 7, - 6, + 1,8,6,7,-2,-1,,
67,18,Cue2LevelEffort,2,6, + 1, + 1, + 7, - 9,6,8,4,2,-2,,
68,23,Cue2LevelEffort,2,3, + 8, + 1, - 5, + 1,8,6,9,-2,1,,
69,39,Cue2LevelEffort,2,9, + 4, - 6, + 1, - 1,7,8,9,1,2,,
70,33,Cue2LevelEffort,2,3, + 9, + 1, - 5, + 1,9,7,8,-2,-1,,
71,21,Cue2LevelEffort,2,9, + 1, + 6, + 7, + 1,24,25,23,1,-1,,
72,32,Cue3LevelEffort,3,4, + 1, + 8, + 9, - 5,17,18,19,1,2,,
73,52,Cue3LevelEffort,3,4, + 1, + 8, + 9, - 5,17,18,19,1,2,,
74,36,Cue3LevelEffort,3,8, - 7, + 9, + 1, + 4,15,16,14,1,-1,,
75,57,Cue3LevelEffort,3,9, - 1, + 5, - 6, + 8,15,17,14,2,-1,,
76,59,Cue3LevelEffort,3,3, + 8, - 7, + 1, + 9,14,13,12,-1,-2,,
77,53,Cue3LevelEffort,3,5, + 1, + 7, - 8, + 6,11,13,9,2,-2,,
78,41,Cue3LevelEffort,3,5, + 6, - 4, - 1, + 7,13,15,14,2,1,,
79,58,Cue3LevelEffort,3,2, + 9, - 3, + 4, + 1,13,11,14,-2,1,,
80,65,Cue3LevelEffort,3,9, + 3, - 4, + 6, + 7,21,22,23,1,2,,
81,50,Cue3LevelEffort,3,2, + 1, + 9, - 4, + 6,14,16,15,2,1,,
82,36,Cue3LevelEffort,3,8, + 6, - 7, + 1, - 4,4,5,3,1,-1,,
83,44,Cue3LevelEffort,3,8, + 4, + 1, - 7, + 9,15,16,13,1,-2,,
84,30,Cue3LevelEffort,3,2, + 9, + 1, - 5, + 7,14,12,15,-2,1,,
85,33,Cue3LevelEffort,3,5, + 7, + 1, - 4, + 6,15,17,13,2,-2,,
86,54,Cue3LevelEffort,3,6, + 1, + 8, + 7, - 9,13,15,14,2,1,,
87,40,Cue3LevelEffort,3,4, + 7, - 3, + 5, - 1,12,13,11,1,-1,,
88,32,Cue3LevelEffort,3,4, + 7, + 1, + 9, - 5,16,17,18,1,2,,
89,70,Cue3LevelEffort,3,5, + 6, - 4, - 1, + 8,14,16,15,2,1,,
90,64,Cue3LevelEffort,3,8, + 3, + 1, - 7, + 9,14,15,12,1,-2,,
91,39,Cue3LevelEffort,3,3, - 7, + 5, + 1, + 9,11,12,13,1,2,,
92,62,Cue3LevelEffort,3,6, - 1, + 7, - 8, + 9,13,11,12,-2,-1,,
93,33,Cue3LevelEffort,3,5, + 1, + 7, - 4, + 6,15,17,13,2,-2,,
94,39,Cue3LevelEffort,3,3, + 1, + 6, - 8, + 9,11,12,13,1,2,,
95,72,Cue3LevelEffort,3,7, - 1, + 8, - 6, + 4,12,11,13,-1,1,,
96,41,Cue3LevelEffort,3,5, - 1, - 4, + 6, + 7,13,15,14,2,1,,
