,id,age,sex,cued,block,trial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,total_points,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,64,23,F,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,83.8355030999519,,83.83550529996864,88.97547750000376,90.77514439995866,90.77515050000513,92.29224759992212,93.3130821000086,e,16,1.7996668999549,1,Correct,0,,,,,23.69129025646221,-1.875496354325195,-0.2089777270967632,63146.0,-15.088346334733522,-0.648055443564699,-0.11191371694566232,71484.0,83.96080841847305,,92.29880841847304
1,64,23,F,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,12,11,10,94.82980820001104,,94.82981129991822,99.85082379996312,100.7831035000272,100.7831091999542,102.30004369991366,103.31791729992256,q,12,0.9322797000641004,1,Correct,0,,,,,7.0400565051801545,-0.12543929497979756,0.1483397853332118,74022.0,-7.692757735149584,0.6623778783898095,0.03183741080466218,81489.0,94.83680841847305,,102.30380841847305
2,64,23,F,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,10,12,11,104.83555910002906,,104.83556479995605,109.8555734999245,110.6471132999286,110.64711919997352,112.16467780002858,113.1829614000162,w,12,0.7915398000041023,1,Correct,0,,,,,-28.649049295420195,0.10869767410918829,0.5564745121961212,84026.0,-26.410462333068992,1.2864609533878353,0.05240037074940984,91354.0,104.84080841847305,,112.16880841847305
3,64,23,F,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,6,5,114.70022989995778,,114.70023299998138,119.7203167999396,120.46290559996852,120.46291180001572,121.97937810001896,122.99653190001844,q,7,0.7425888000288978,1,Correct,0,,,,,-57.59757811628104,-0.040798611054058576,-0.949171627879037,93890.0,10.004476321888596,0.7560178337543948,-0.6815613418485076,101167.0,114.70480841847305,,121.98180841847305
4,64,23,F,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,20,22,124.51332989998627,,124.51333340001293,129.53287699993234,130.25488619995303,130.25489219999872,131.7855455999961,132.80246309994254,w,20,0.7220092000206932,1,Correct,0,,,,,-60.290955309440854,0.14638265442254683,-0.39195515596578767,103703.0,10.026258801683914,-1.7792766144529208,-3.2938593315618774,110973.0,124.51780841847305,,131.78780841847305
5,64,23,F,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,10,9,11,134.3195600999752,,134.31956340000033,139.33809420000762,140.0148791000247,140.01488519995473,141.53155880002305,142.5495628999779,e,11,0.6767849000170827,1,Correct,0,,,,,14.360105741229567,-0.6294314175085747,-2.3200274475010163,113509.0,3.8767814701307604,0.7261467966657813,-0.378928230551705,120720.0,134.32380841847305,,141.53480841847306
6,64,23,F,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,23,22,21,144.06678390002344,,144.06678699993063,149.08815700002015,149.79904089996126,149.79904680000618,151.31592119997367,152.33418869995512,e,21,0.7108838999411091,1,Correct,0,,,,,14.844129909129933,-0.23446581732025118,0.10391307628729862,123258.0,5.7422886017647095,0.3427578415008701,0.1991926113540332,130505.0,144.07280841847304,,151.31980841847303
7,64,23,F,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,24,23,22,153.85161339992192,,153.851616299944,158.87153499992564,159.5750394000206,159.5750450999476,161.09202719992027,162.10991549992468,q,24,0.7035044000949711,1,Correct,0,,,,,14.07899984460349,-0.16259031968308557,0.2657611234556647,133042.0,18.773318194008503,0.20621596789454522,0.5083774499315736,140280.0,153.85680841847307,,161.09480841847306
8,64,23,F,1,0,0.0,0,2,high,6 + 8 + 1 + 1 - 7,9,9,8,11,253.9405829999596,255.9867950999178,257.5021415000083,262.521477399976,263.2125126000028,263.2125179999275,264.7288516999688,265.7462568000192,q,9,0.6910352000268176,1,+10,10,1.2610828090958752,1.3798230743109299,-1.8438742063524054,233157.0,-5.757056630167981,0.2733867192659245,0.08273710579100868,236691.0,8.609137698047874,0.13320897376180474,-0.00487537977989394,243916.0,257.50580841847307,253.97180841847307,264.73080841847303
9,64,23,F,1,0,1.0,1,4,high,3 + 8 - 7 + 9 - 5,8,7,8,9,267.2628390999744,269.31185619998723,270.8270752999233,275.8456098999595,276.42052269994747,276.4205275999848,277.9371260999469,278.95451109996065,w,8,0.574912799987942,1,+10,20,-27.37174639717712,0.03892732266818788,0.012659199913388708,246482.0,-15.786046425768806,-0.4707106292537597,-0.05955447098926214,250016.0,3.4286095187826255,0.7437273150601875,0.44339878246147446,257124.0,270.83080841847305,267.29680841847306,277.93880841847306
10,64,23,F,1,0,2.0,2,4,high,5 + 7 - 4 + 8 + 6,22,23,22,24,280.4712766999146,282.4955410999246,284.01094319997355,289.029941399931,289.7085454999469,289.7085506999865,291.2252161999932,292.24252680002246,w,22,0.6786041000159457,1,+10,30,35.53279816727503,-0.9547681703677777,-2.681218203823266,259665.0,16.22084440001684,-0.3373393636885975,0.16118982641156565,263200.0,-1.2347038981767966,-0.4858869191933195,0.04309433466344936,270412.0,284.014808418473,280.47980841847306,291.226808418473
11,64,23,F,1,0,3.0,3,2,low,7 + 6 + 1 - 1 - 8,5,5,3,4,293.75927259994205,295.79624119994696,297.31152989994735,302.32958999997936,303.90850030002184,303.9085055999458,305.4252495999681,306.44216989993583,q,5,1.5789103000424802,1,+1,31,-11.032639889051175,-0.21993082671615394,0.00998643281643874,272966.0,1.5280437868968568,0.004991156110493833,0.12755448543942238,276500.0,4.797348129853731,0.9148380381083299,0.010544804338701308,284612.0,297.31480841847304,293.78080841847304,305.42680841847306
12,64,23,F,1,0,4.0,4,4,high,8 + 4 + 7 - 5 - 6,8,6,8,9,307.9588475999189,309.98425169999246,311.4995034999447,316.5182791999541,317.7484261000063,317.74843139993027,319.2650989999529,320.28234839998186,w,8,1.2301469000522047,1,+10,41,19.000983730938593,0.8838380707717923,0.13063662890020344,287154.0,-21.17942374756793,-0.2195110059267642,0.052624989496155905,290688.0,37.70105083100075,0.04732767039047037,0.14499781041743987,298452.0,311.502808418473,307.96880841847303,319.26680841847303
13,64,23,F,1,0,5.0,5,2,high,9 + 4 - 6 + 1 - 1,7,7,9,8,321.7990826999303,323.8249176000245,325.3397860999685,330.35893380001653,330.876434899983,330.87643970001955,332.3931942000054,333.41047539992724,q,7,0.5175010999664664,1,+10,51,-3.093973584190735,-0.21679462156643847,0.11667214381744984,300995.0,-6.160444151237538,0.12801184836092272,-0.005710404934637925,304529.0,-27.109961740536143,0.8769694206508896,-0.0867055507567649,311580.0,325.34380841847303,321.80980841847304,332.394808418473
14,64,23,F,1,0,6.0,6,4,high,4 + 9 - 7 + 8 + 5,19,19,20,21,334.9270787999267,336.9524102000287,338.4676435999572,343.4875832999824,344.04446919995826,344.0444744999986,345.5610466999933,346.57846559991594,q,19,0.5568858999758959,1,+10,61,-9.551299851488722,0.04666157474593158,0.03635071748347052,314122.0,8.092016447417302,0.32425099643467004,-0.026390438735614197,317658.0,10.474058257474663,-0.02159791012383705,-0.27307227575593407,324748.0,338.47280841847305,334.93680841847305,345.562808418473
15,64,23,F,1,0,7.0,7,4,high,6 + 5 - 7 + 8 - 9,3,4,3,5,348.09590429998934,350.11761319998186,351.63287319999654,356.6514790999936,357.1643589999294,357.16436399996746,358.6806126999436,359.6979653999442,w,3,0.5128798999357969,1,+10,71,3.2329829464279953,-0.38751079963294677,-0.1392425870015752,327287.0,31.46841857634792,0.7445559570941884,0.23712760947162792,330821.0,26.914503897230343,0.2805952142887831,-0.09048872247440087,337868.0,351.63580841847306,348.101808418473,358.68280841847303
16,64,23,F,1,0,8.0,8,4,high,8 + 3 - 4 + 5 + 9,21,23,21,22,361.215469299932,363.23880399996415,364.7539163000183,369.7723305999534,370.3403841999825,370.3403892000206,371.8567132999888,372.8734559000004,w,21,0.5680536000290886,1,+10,81,-1.9065112845443029,0.2606075932281944,0.2736561339314916,340408.0,-15.441470442594385,0.2567989213753812,0.16123890133990093,343942.0,40.3939313635388,0.1845833019113683,-0.044500489884296,351044.0,364.75680841847304,361.22280841847305,371.858808418473
17,64,23,F,1,0,9.0,9,2,high,9 + 4 + 5 + 1 - 1,18,18,17,19,374.39025950001087,376.4178130999208,377.93305049999617,382.950817200006,383.5644523999654,383.56445760000497,385.0811349999858,386.0986907000188,q,18,0.6136351999593899,1,+10,91,-23.157965024682618,3.924480305638694,1.3557147571020627,353587.0,-28.10454185776843,-0.7144206569645482,0.003579685770092933,357121.0,15.92718283257669,-0.48222551424643534,-0.06880640857956122,364268.0,377.935808418473,374.401808418473,385.082808418473
