,id,age,sex,cued,block,trial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,total_points,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,65,20,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,47.836750800022855,,47.83675310004037,52.86411439999938,54.79309150006157,54.79309789999388,56.31055240007117,57.33166040002834,e,16.0,1.928977100062184,1,Correct,0,,,,,11.298075321300793,-0.5854384465145763,-0.480866458484253,47141.0,0.5170630674717849,1.645016613931265,-0.050241416383810744,55608.0,47.8507247340447,,56.317724734044695
1,65,20,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,11,12,58.84866020001937,,58.84866330004297,63.87038139998913,65.6890850000782,65.68909130000975,67.20588310004678,68.22426500008442,e,12.0,1.8187036000890655,1,Correct,0,,,,,2.08263139676982,1.1035109712029598,0.04834310023998167,58146.0,-0.3804304012564934,1.4670095180106344,0.12873047215105826,66501.0,58.8557247340447,,67.2107247340447
2,65,20,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,11,10,12,69.742198400083,,69.74220490001608,74.76231960009318,75.37682030000724,75.37682680005673,76.89405700005591,77.9123099000426,e,12.0,0.6145006999140605,1,Correct,0,,,,,-39.52107321634038,-5.611479552191749,0.2770219648137504,69039.0,8.444728353217148,-0.08864596647369449,0.2883400195214225,76189.0,69.7487247340447,,76.89872473404469
3,65,20,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,5,7,6,79.43001150002237,,79.43001420004293,84.45021010003984,85.09687090001535,85.09687690006103,86.61339589999989,87.63060949998908,w,7.0,0.646660799975507,1,Correct,0,,,,,-26.811676603052337,-0.6139484234240369,0.12231759895473893,78727.0,-2.6224875294869054,0.13302416530986783,0.14959898631095658,85907.0,79.4367247340447,,86.6167247340447
4,65,20,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,20,21,22,89.14736550010275,,89.14736840000842,94.1660475000972,94.92109350010288,94.92109940003138,96.4377145000035,97.45473370002584,q,20.0,0.7550460000056773,1,Correct,0,,,,,-12.710735685621806,-0.5798096390212066,0.0531759110495571,88443.0,26.964680915493794,-0.31479486873655826,-0.001246080181950493,95731.0,89.1527247340447,,96.4407247340447
5,65,20,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,10,11,9,98.9715096000582,,98.97151250008028,103.99030540010426,104.81685280008242,104.8168590000132,106.3337606000714,107.35153010010254,w,11.0,0.8265473999781534,1,Correct,0,,,,,-10.689116971754578,0.03904448931958182,0.12180141704370495,98267.0,-5.013880307371455,0.0758067600407224,0.14674228874343465,105628.0,98.9767247340447,,106.3377247340447
6,65,20,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,23,21,22,108.86890150001273,,108.86890430003405,113.8899741000496,114.88103899999987,114.88104500004556,116.39819810003974,117.41652650001924,w,21.0,0.9910648999502882,1,Correct,0,,,,,22.88298677575687,0.6663883373895843,0.12026194619065467,108166.0,-21.924179432873927,-0.13651967640333051,0.23693408081443734,115693.0,108.8757247340447,,116.4027247340447
7,65,20,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,23,22,24,118.93398279999384,,118.93398570001592,123.95430700003637,128.60902610002086,128.6090323000681,130.12606230005622,131.14660890004598,w,22.0,4.654719099984504,0,Incorrect,0,,,,,-1.31673071495001,0.026689192174555565,-0.12070638774679487,118230.0,7.972396966474619,0.02995774715643318,0.1590870124060877,129423.0,118.9397247340447,,130.1327247340447
8,65,20,f,1,0,0.0,0,4,low,3 + 8 - 5 + 9 - 7,8,6,7,8,257.46245510003064,259.4899980000919,261.0050361000467,266.0239111999981,267.7983953000512,267.79840060009155,269.31489550007973,270.331849200069,e,8.0,1.7744841000530869,1,+1,1,-0.14077900398288357,-6.322349628225901,0.18245575054707341,256766.0,8.306282536930375,0.32883958872006147,-0.040259206725966834,260300.0,1.0798869066779062,2.8670628594555514,0.05860437119757833,887293.0,261.0097247340447,257.4757247340447,888.0027247340447
9,65,20,f,1,0,1.0,1,4,low,3 + 9 - 5 + 8 - 7,8,9,7,8,271.848955100053,273.8727516999934,275.38832430006005,280.4074088000925,281.3103943000315,281.31039930006955,282.826444300008,283.84355200000573,e,8.0,0.90298549993895,1,+1,2,-1.871473106015209,0.8750507884018539,0.05919011803450269,271148.0,-7.844194453803146,0.26031394123899076,0.22223496615522143,274683.0,4.593343772936262,1.2371894699673804,-0.009151986106270549,914325.0,275.3927247340447,271.8577247340447,915.0347247340447
10,65,20,f,1,0,2.0,2,2,low,7 + 1 + 9 - 1 - 8,8,7,8,6,285.3603118000319,287.38795120001305,288.903459400055,293.9230277000461,294.6785219000885,294.67852720001247,296.1949821000453,297.21192730008624,w,8.0,0.7554942000424489,1,+1,3,28.932812963742293,0.7455003008689669,-0.03030750503450097,284663.0,4.104794789685894,0.7510704423083343,0.20628056280593254,288199.0,19.47143213713146,-0.332095092571727,0.2590311561945571,324384.0,288.9087247340447,285.3727247340447,325.0937247340447
11,65,20,f,1,0,3.0,3,3,low,3 + 1 + 8 - 5 + 6,13,13,15,14,298.72892950009555,300.75517470005434,302.2704627000494,307.28922850009985,307.93440370005555,307.9344085000921,309.45099740009755,310.4677612000378,q,13.0,0.6451751999557018,1,+1,4,-37.92201912982232,0.22640688967471156,0.13377448099872868,298031.0,19.153562497995622,6.682128257446937,0.18468152534289572,301565.0,,,,,302.2747247340447,298.7407247340447,
12,65,20,f,1,0,4.0,4,2,low,3 + 9 + 1 - 5 + 1,9,8,7,9,311.9845868000993,314.00948450004216,315.52454270003363,320.543790500029,323.57441240001936,323.5744175000582,325.09106250002515,326.1087075000396,w,7.0,3.030621899990365,0,+0,4,7.852104539891798,-13.31795003962148,0.3082892336213563,311285.0,-2.962065889728473,0.915233240997539,0.07005796512416884,314819.0,12.84331195730538,1.8268257441396147,0.08595759109748102,994485.0,315.5287247340447,311.9947247340447,995.1947247340447
13,65,20,f,1,0,5.0,5,2,high,8 + 1 + 1 + 9 - 4,15,15,16,14,327.6255822000094,329.6529186000116,331.1682014000835,336.18647820001934,336.95837780006696,336.95838299999014,338.4756247000769,339.492881400045,q,15.0,0.7718996000476182,1,+10,14,3.0568358650280842,2.047615945108058,-0.06034783843363334,326928.0,5.3219380044312246,0.4222446483488156,-0.02142464438932734,330462.0,,,,,331.1717247340447,327.6377247340447,
14,65,20,f,1,0,6.0,6,4,low,8 + 7 - 4 + 5 + 9,25,26,24,25,341.0095287000295,343.0340242000529,344.54985700000543,349.56844210007694,350.69441310002003,350.6944186000619,352.2116198000731,353.22877370007336,e,25.0,1.1259709999430925,1,+1,15,-20.991335709276722,0.5375890552290059,0.22861005605325446,340310.0,0.8776623949797391,0.13722971263032413,0.1917946154736958,343844.0,3.6847362136767305,0.18658208169536472,-0.6241209013227706,1782345.0,344.5537247340447,341.0197247340447,1783.0547247340446
