,id,age,sex,cued,block,trial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,total_points,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,5,22,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,16,14,15,89.52950250002323,,89.52950470003998,94.55738070001826,96.885382700013,96.88538910000352,98.40242260001833,99.42350800003624,q,16,2.32800199999474,1,Correct,0,,,,,-4.996797893213453,0.43365314189200754,-0.5481030574864623,65520.0,11.895147676429334,0.028896778542350177,-0.006122721841177237,74386.0,89.54627861351592,,98.41227861351592
1,5,22,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,10,12,11,100.94036220002454,,100.94036519998916,105.96171270002378,108.73355360003188,108.73356060002698,110.25035119999666,111.269694800023,e,11,2.771840900008101,0,Incorrect,0,,,,,6.974220283216079,-0.16198859966536272,0.03409981550744012,76925.0,9.47305308097516,0.0343223068214451,0.15045003766989895,86233.0,100.95127861351592,,110.25927861351593
2,5,22,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,112.787242099992,,112.78724760003388,117.80692530004308,118.46935170004144,118.4693580000312,119.98653180000838,121.0044920000364,q,12,0.6624263999983668,1,Correct,0,,,,,-6.76095554310206,-0.2679355380723365,-0.16661022351495514,88770.0,9.407093529885628,0.03368344790734401,-0.02377364945952487,95967.0,112.79627861351592,,119.99327861351593
3,5,22,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,6,5,7,122.52169449999928,,122.52169770002364,127.54198370000812,128.85337430000072,128.8533805999905,130.36969160003355,131.38670370000182,e,7,1.311390599992592,1,Correct,0,,,,,-10.712811480131553,-0.20497065752169696,0.07742540301561252,98505.0,27.734718561825144,0.04793751397433832,-0.08553108496590323,106350.0,122.53127861351592,,130.37627861351592
4,5,22,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,20,22,132.90349420002894,,132.90349709999282,137.92264050000813,138.7093928999966,138.7093991000438,140.22581020003418,141.2428638000274,w,20,0.7867523999884725,1,Correct,0,,,,,-16.598676476829,0.17219566550213328,0.030490345226972693,108885.0,11.35812141067885,-0.2566027920553875,-0.13688336663633427,116206.0,132.91127861351592,,140.23227861351592
5,5,22,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,10,11,9,142.75939760002075,,142.75940050004283,147.77832620003028,148.6535886999918,148.65359490003902,150.17028429999482,151.18808970000828,w,11,0.8752624999615364,1,Correct,0,,,,,-4.95186958722317,-0.00699056672477516,-0.24043733348363072,118741.0,-41.61630480050477,-0.2318748424944017,0.2518653030216078,126151.0,142.7672786135159,,150.1772786135159
6,5,22,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,22,21,23,152.7047506000381,,152.70475360000273,157.7256425000378,158.25341569999,158.25342250004178,159.7704095999943,160.78875080001308,w,21,0.5277731999522075,1,Correct,0,,,,,-1.3061384786199124,0.14826858054934133,-0.17561282572250092,128688.0,39.949991238452114,-0.14644972950607205,-0.08689025730493483,135752.0,152.71427861351592,,159.77827861351594
7,5,22,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,22,24,23,162.3055663999985,,162.30556920001982,167.32512900000438,168.42961940000532,168.42962599999737,169.9464698000229,170.96443870000076,e,23,1.104490400000941,0,Incorrect,0,,,,,5.822973064917186,0.1118263923993772,-0.2084909055240045,138288.0,27.9762081979315,-0.4577434994563565,-0.13877721424136413,145927.0,162.31427861351594,,169.95327861351592
8,5,22,f,1,0,0.0,0,2,low,6 + 1 + 1 + 7 - 9,6,4,8,6,338.66734970000107,340.69562519999454,342.2108242000104,347.2296629000339,348.731302900007,348.7313084999914,350.2478043999872,351.2647214999888,e,6,1.501639999973122,1,+1,1,-0.573831338855392,1.1139032933627033,-0.7564197969292517,314657.0,-5.772647594123949,0.6148510628806592,1.0482386670852133,318191.0,-23.007819112914945,-0.21903984531863596,0.12576358321266934,396978.0,342.2172786135159,338.6832786135159,421.0042786135159
9,5,22,f,1,0,1.0,1,1,high,3 + 1 + 8 + 1 + 1,14,14,12,13,352.78138910001144,354.80639990000054,356.3214498999878,361.3405587000306,362.075265099993,362.07527030003257,363.5917704000021,364.608764900011,q,14,0.734706399962306,1,+10,11,4.875062226986358,0.043272867113464786,0.11012155387106204,328768.0,-13.99032444234558,-0.0583020814300621,0.050746481160554247,332302.0,5.232748749093612,-0.11710886535275211,-0.412759428482786,1073616.0,356.3282786135159,352.79427861351587,1097.6422786135158
10,5,22,f,1,0,2.0,2,3,low,7 + 5 + 9 + 1 - 6,16,15,14,16,366.1257068000268,368.1526351000066,369.6680508000427,374.6863976999885,376.7553235000232,376.7553289000061,378.2716556999949,379.28894900000887,w,14,2.0689258000347763,0,+0,11,11.873827895512715,4.124396250358412,1.7059169340377602,342114.0,10.20810487255947,4.950222700756294,2.8100901384153842,345648.0,4.009213156713024,-0.15627909252885575,-0.0004505267563774673,354251.0,369.6742786135159,366.1402786135159,378.2772786135159
11,5,22,f,1,0,3.0,3,2,high,9 + 5 - 6 + 1 - 1,8,8,7,9,380.80565290001687,382.8316833000281,384.3467515000375,389.3648504000157,390.1712762000389,390.1712820000248,391.6875932000112,392.7047169000143,q,8,0.8064258000231348,1,+10,21,21.636217900997067,0.9585360886251908,-0.11347985683402162,356794.0,9.510107284985247,0.7540290690746085,-0.21161216157033702,360326.0,18.986936389409145,-0.007226956235314885,-0.0904953604905232,411283.0,384.3522786135159,380.8202786135159,435.3092786135159
12,5,22,f,1,0,4.0,4,4,high,6 + 7 + 9 - 3 + 5,24,22,23,24,394.22218059998704,396.2500636000186,397.7652486999869,402.7857159000123,404.3632647999912,404.3632702000323,405.87968640000327,406.89665190002415,q,22,1.577548899978865,0,+0,21,-26.770985598928057,0.9381663641713867,0.008075869210978581,370212.0,-22.659708741101426,0.7446424654234793,0.1504040597131362,373747.0,-17.747559193432345,-0.17657791637026765,-0.03698527405805119,381858.0,397.7732786135159,394.2382786135159,405.8842786135159
13,5,22,f,1,0,5.0,5,2,low,5 + 8 + 1 - 1 + 9,22,21,22,23,408.41258950001793,410.4407965000137,411.9559728000313,416.97495649999473,419.4832418000442,419.48324740002863,420.999693699996,422.01690869999584,e,23,2.508285300049465,0,+0,21,-0.7185839876895574,0.7864666888490479,-0.0904026210636395,384402.0,13.289612730812244,0.6917016955291282,-0.16538304749472332,387936.0,20.09740888219607,0.5071935195483019,0.25824268299062103,704785.0,411.9622786135159,408.4282786135159,728.8112786135159
14,5,22,f,1,0,6.0,6,2,high,2 + 1 + 9 - 4 + 1,9,11,8,9,423.5336365000112,425.56016510003246,427.0761128999875,432.0944100000197,433.7873396000359,433.7873460000265,435.3038283000351,436.32132109999657,q,11,1.692929600016214,0,+0,21,12.462202713880345,0.8074781746763271,-0.03502205295678573,399522.0,24.450037938743467,0.7895037023257194,-0.25418784483214796,403056.0,-26.290079586390025,-0.1451996116163683,-0.12337618315187959,975800.0,427.0822786135159,423.5482786135159,999.8262786135159
15,5,22,f,1,0,7.0,7,3,high,7 - 1 + 9 - 5 + 4,14,15,14,13,437.8380246000015,439.8626371000428,441.37763910001377,446.3975229000207,447.34731690003537,447.3473228000221,448.8637799000135,449.8804970000056,w,14,0.9497940000146629,1,+10,31,5.195940879114342,1.1257722608899636,0.5680178052486258,413824.0,-4.336110147640554,0.3778141698907582,-2.173798330924163,417359.0,-5.958109314233775,0.00641302224170448,0.25885797219097784,438994.0,441.3852786135159,437.8502786135159,463.0202786135159
16,5,22,f,1,0,8.0,8,3,low,8 + 4 + 1 - 7 + 9,15,13,16,15,451.39714630000526,453.421462600003,454.9364362999913,459.9544116000179,461.4993700000341,461.49937640002463,463.0161399000208,464.0332197000389,w,16,1.544958400016185,0,+0,31,27.641307090415825,1.0297418122868935,-0.026661180385410876,427383.0,4.2611727761788405,0.8314898253542489,-0.06876505725142668,430916.0,20.82667051461908,-0.11698348719722995,0.06784306246077287,467306.0,454.9422786135159,451.4092786135159,491.3322786135159
17,5,22,f,1,0,9.0,9,1,low,8 + 1 + 1 + 1 - 3,8,9,6,8,465.5499693999882,467.57677560002776,469.09187390003353,474.1095171000343,474.81930640002247,474.8193122000084,476.335508499993,477.35220070002833,e,8,0.7097892999881878,1,+1,32,16.03174223613617,-0.11011331868413854,0.004997205658950232,441538.0,-11.099899674401673,-0.007738043904092162,0.20769439863358707,445071.0,-58.38286314376349,0.20919773049796442,0.37022340527749376,1333711.0,469.0972786135159,465.5642786135159,1357.7372786135159
18,5,22,f,1,0,10.0,10,3,high,6 - 1 + 7 - 8 + 9,13,12,11,13,478.86888950003777,480.8962875000434,482.4115872000111,487.43051380000543,489.8113127000397,489.811318800028,491.3277494999929,492.34432610002114,w,11,2.380798900034278,0,+0,32,5.540109596880633,0.9233956629828992,0.08352296159853112,454858.0,-17.061180988772623,0.8898475915208335,0.09441075508220576,458392.0,-30.578534485896142,-0.23907812144052065,-0.27380010573317426,511931.0,482.4182786135159,478.8842786135159,535.9572786135159
19,5,22,f,1,0,11.0,11,4,low,4 + 7 + 8 - 3 + 9,25,24,25,26,493.8609224000247,495.8872209000401,497.4025558000431,502.42122260003816,505.403529800009,505.40353509999113,506.9200761000393,507.9369887000066,w,25,2.982307199970819,1,+1,33,9.668691380599817,1.0245382570159658,-0.37310043159924033,469848.0,19.662682933759147,0.8266418139324738,-0.031620214022426874,473382.0,30.181615728304532,0.041476895105239775,0.12318402904629444,676841.0,497.4082786135159,493.8742786135159,700.867278613516
20,5,22,f,1,0,12.0,12,3,low,5 + 6 + 7 - 1 - 9,8,8,9,7,509.45371680002427,511.4816933000111,512.9969955999986,518.0155952000059,519.7313909000368,519.7313968000235,521.2477045000414,522.2637687000097,q,8,1.715795700030867,1,+1,34,61.16218364773984,0.764561202757279,0.13609947215030993,485443.0,6.733016462148083,0.9181490495826925,0.4871683833509348,488977.0,-65.12319731863231,0.030605734556317765,-0.07691962997434043,850473.0,513.0032786135159,509.4692786135159,874.4992786135159
21,5,22,f,1,0,13.0,13,3,high,5 + 6 - 4 - 1 + 7,13,13,15,14,523.7805247000069,525.8050321000046,527.3201704000239,532.33890110004,534.4354480000329,534.4354539000196,535.9527447000146,536.969995899999,w,15,2.0965468999929726,0,+0,34,43.29612418512454,0.7914536938902397,0.12753113339444422,499766.0,14.588258472472162,0.9803836116174811,-0.7200065355745073,503300.0,-44.8967025130327,-0.10759005199265959,-0.6039003594201431,1017632.0,527.3262786135159,523.7922786135159,1041.658278613516
22,5,22,f,1,0,14.0,14,2,low,4 + 7 + 1 + 1 - 8,5,7,5,4,538.486418800021,540.5119970000233,542.0270817000419,547.0453837999958,548.0513727000216,548.0513781000045,549.568057299999,550.5848078000126,w,5,1.0059889000258408,1,+1,35,-20.96754422172782,1.0570520307933036,-0.45874081050385773,514473.0,1.5251766550010473,0.9113446911118208,-0.110893240265173,518006.0,-15.251895343344923,0.09121958011690268,-0.16334837511664113,1216511.0,542.0322786135159,538.4992786135159,1240.5372786135158
23,5,22,f,1,0,15.0,15,1,low,3 + 1 + 8 - 1 + 1,12,12,10,13,552.1021108000423,554.1298166000051,555.6450082000229,560.6633414000389,561.3713290999876,561.371334800031,562.8877073000185,563.9045500000357,q,12,0.7079876999487169,1,+1,36,-3.115263318444878,-0.032895747526608954,0.652895944304301,528091.0,-36.82424854990107,0.15684517826176614,0.09476373502826463,531624.0,14.60913247168624,-0.0354238559021125,0.05352438513847102,1759612.0,555.650278613516,552.117278613516,1783.638278613516
24,5,22,f,1,0,16.0,16,2,low,9 + 4 + 5 + 1 - 1,18,17,18,19,565.4209606000222,567.4484050000319,568.963399500004,573.9815892000333,574.6834196000127,574.6834252999979,576.1999038000358,577.2166704999981,w,18,0.7018303999793716,1,+1,37,-8.550351892569584,0.8588588671064843,0.3443275360260496,541409.0,-27.83323430580632,0.8402540204603683,0.07604095828726942,544942.0,24.149477043525543,-0.0017764660679921995,0.023425206940006493,1405934.0,568.968278613516,565.435278613516,1429.9602786135158
25,5,22,f,1,0,17.0,17,1,high,8 + 1 + 1 + 1 - 4,7,5,8,7,578.7334547000355,580.7612478000228,582.2763840000262,587.2944492000388,587.8193510000128,587.8193560999935,589.3358742000419,590.3528425000259,e,7,0.5249017999740317,1,+10,47,-17.543615460733054,-0.0711008566606326,0.040829479458385,554722.0,-14.376857019558786,0.012511723164557509,0.3122518246526942,558255.0,,,,,582.281278613516,578.7482786135159,
26,5,22,f,1,0,18.0,18,1,low,9 + 1 + 1 + 7 - 1,17,17,16,19,591.8696168999886,593.8965196000063,595.4113726000069,600.4298992000404,601.1953980000108,601.1954035999952,602.7117538999883,603.728643600014,q,17,0.7654987999703735,1,+1,48,-2.0157225209738225,-0.02408427237965527,0.28831702800911074,567856.0,-53.0056742413716,0.05062748243396742,-0.08846481750546764,571391.0,,,,,595.4172786135159,591.882278613516,
27,5,22,f,1,0,19.0,19,4,low,5 + 6 - 4 + 7 + 9,23,23,24,25,605.2462703000056,607.2740564999986,608.7895195999881,613.8080410000402,615.3154834000161,615.3154891000013,616.832069600001,617.8490102000069,q,23,1.5074423999758435,1,+1,49,-18.94060226307897,0.44265219897438524,-0.08593618022479177,581234.0,-24.09174951874535,0.9613561928737098,0.21225749952866746,584769.0,-4.1300948178305035,0.24765109404354013,0.42735821891969317,748234.0,608.795278613516,605.260278613516,772.260278613516
28,5,22,f,1,0,20.0,20,1,high,3 + 1 + 1 + 8 - 1,12,13,12,14,619.3656349999947,621.393767600006,622.908582700009,627.9267923000152,630.6514063000213,630.6514116000035,632.1678083000006,633.1850514000398,w,12,2.724614000006113,1,+10,59,5.148540102589715,0.028328385962914426,0.26669075451614765,595354.0,-46.752756205815466,-0.2188753145199689,0.06799911743149911,598887.0,,,,,622.9132786135159,619.380278613516,
29,5,22,f,1,0,21.0,21,2,high,4 + 8 + 1 + 1 - 5,9,11,8,9,634.702583300008,636.7276843000436,638.2428330000257,643.2610938000144,643.7554462000262,643.7554518000106,645.2718842999893,646.2895423000446,e,9,0.4943524000118486,1,+10,69,-8.871445905135538,0.8183874664779835,-0.6415801636390561,610688.0,25.548656134499165,0.6294714535608397,-0.15122204696043728,614221.0,-51.249969290871206,0.18205455194456244,0.01885571054703039,1559605.0,638.247278613516,634.714278613516,1583.6312786135159
