,id,age,sex,cued,block,trial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback,total_points,cuescr,cuecor,cuezyg,cuetime,probscr,probcor,probzyg,probtime,fbscr,fbcor,fbzyg,fbtime,probtime_c,cuetime_c,fbtime_c
0,16,22,f,0,Practice,,0,1,0,4 + 1 + 9 + 1 + 1,16,14,15,16,56.54634000000078,,56.54634220000298,61.680512899998575,62.67847569999867,62.67848180000146,64.19520750000083,65.21728000001167,e,16,0.9979628000000956,1,Correct,0,,,,,-36.71048135614181,0.9084741780853021,0.17469376377552281,55288.0,-1.9435233834537584,0.14223268398390765,0.33413272872672817,62824.0,56.66593872400462,,64.20193872400462
1,16,22,f,0,Practice,,1,1,0,3 + 1 + 1 + 8 - 1,12,11,12,10,66.73442610001075,,66.73442900000373,71.76914400000533,74.0623448999977,74.06235079999897,75.57922830000462,76.59845090001181,q,11,2.293200899992371,0,Incorrect,0,,,,,-3.762342957342341,-0.16199864387709795,-0.7696235618066845,65377.0,-0.9209346025203615,-0.33680590373214603,0.015307355217313301,74206.0,66.75493872400462,,75.58393872400462
2,16,22,f,0,Practice,,2,2,0,8 + 1 + 6 + 1 - 4,12,12,10,11,78.12719559999823,,78.12720050000644,83.14706750000187,85.03835740000068,85.03836260001117,86.55531360000896,87.57315989999915,q,12,1.89128989999881,1,Correct,0,,,,,13.978668931386483,-0.30760644573376705,-0.668686305780958,76755.0,2.1541704429814814,-0.7647512444457512,0.5408788403700431,85181.0,78.13293872400462,,86.55893872400462
3,16,22,f,0,Practice,,3,2,0,9 + 4 - 6 + 1 - 1,7,7,6,5,89.09041660001094,,89.09041950000392,94.10943910000788,95.81431760000125,95.81432370000402,97.33128830000352,98.34843690000709,q,7,1.704878499993356,1,Correct,0,,,,,-56.042732520486766,-0.5178564874056422,-0.4883711092872298,87717.0,10.72180203258224,0.093443276605651,-0.7646901082251385,95956.0,89.09493872400462,,97.33393872400462
4,16,22,f,0,Practice,,4,3,0,9 + 3 - 5 + 6 + 7,20,21,20,22,99.86533240000426,,99.86533520001105,104.88535409999896,107.0063119999977,107.00631820000126,108.52281770000992,109.54051260001144,w,20,2.120957899998757,1,Correct,0,,,,,-10.441645065832052,0.14364607674325214,-0.29442071119127355,98492.0,2.2993009476123527,-0.17983596048055706,-0.1343794209887621,107148.0,99.86993872400463,,108.52593872400462
5,16,22,f,0,Practice,,5,3,0,2 + 1 + 9 - 7 + 6,11,11,9,10,111.05732750000608,,111.05733019999752,116.07820129999892,116.86256649999996,116.86257320000732,118.3796474999981,119.3981333999982,q,11,0.7843652000010479,1,Correct,0,,,,,-26.97565095843113,-0.2856502107449561,-0.5878471376601038,109686.0,-4.27597620853027,0.5170321209593105,0.4703045063442799,117006.0,111.06393872400463,,118.38393872400462
6,16,22,f,0,Practice,,6,4,0,4 + 8 + 5 - 3 + 7,21,21,23,22,120.9154864000011,,120.91548930000864,125.93597190000582,128.08639880000555,128.0864050000091,129.6035325999983,130.6217686000018,q,21,2.1504268999997294,1,Correct,0,,,,,5.4984535663050575,-0.39688809258917157,-0.33112181963605103,119543.0,5.205071708428227,0.2898918802439905,0.13271334245309552,128230.0,120.92093872400463,,129.6079387240046
7,16,22,f,0,Practice,,7,4,0,5 + 8 - 4 + 6 + 9,24,22,24,23,132.1387803000107,,132.13878300000215,137.15872830001172,137.7104446000012,137.710450700004,139.227415500005,140.24538750000647,w,24,0.5517162999894936,1,Correct,0,,,,,27.998306589489843,0.29097166972071165,0.12263115861498042,130766.0,-63.781011081096096,-0.8101951642533125,0.10310918474314823,137853.0,132.1439387240046,,139.23093872400463
8,16,22,f,1,0,0.0,0,4,high,2 + 9 - 6 + 8 - 4,9,7,9,11,290.0518679000088,292.102696300004,293.61800380000204,298.63665690000926,300.17193770001177,300.1719429000077,301.6887245000107,302.70630250000977,w,9,1.5352808000025109,1,+10,10,-3.449189546564714,-0.14701749535840314,-0.5633536245157194,288710.0,6.427650807578448,0.27963668555042887,-0.046232675342860574,292244.0,-9.758726650475772,-1.155331581075055,-0.38473018794823455,300313.0,293.6219387240046,290.0879387240046,301.6909387240046
9,16,22,f,1,0,1.0,1,2,high,6 + 1 + 1 + 8 - 9,7,7,5,9,304.2233004000009,306.31726940000954,307.8325557000062,312.8505513999989,314.5798128000024,314.5798180999991,316.0965627999976,317.1137832000095,e,9,1.729261400003452,0,+0,10,2.6527337447169685,-0.930036110976304,0.08384390527459651,302924.0,-13.876934988976563,0.1262616005231303,-0.23032985013769203,306458.0,33.39269436209004,-0.12421550313615048,0.21372752379703464,586023.0,307.8359387240046,304.3019387240046,587.4009387240046
10,16,22,f,1,0,2.0,2,4,low,3 + 8 - 7 + 9 - 5,8,9,8,7,318.6313855000044,320.6690710999974,322.1844742000103,327.20378390001133,329.00379840000824,329.0038032000012,330.5199336000078,331.5371520000044,q,9,1.8000144999969052,0,+0,10,-1.4116331402380133,0.0049198722061039035,-0.1929664318691171,317276.0,4.906187248187653,0.3960411185262185,0.08696173934669194,320811.0,6.842898159912526,0.3949002180569363,0.08454384155969175,641494.0,322.1889387240046,318.6539387240046,642.8719387240046
